interview_id,application_id,candidate_id,interview_type,scheduled_at,completed_at,interview_status,technical_score,communication_score,overall_score,recommendation,feedback
review-clean4-clean-INT-0000046,review-clean4-clean-APP-000021,review-clean4-clean-CAND-03970,Final Panel,2026-06-05T08:00:00,2026-06-05T12:00:00,Completed,,2.8,,Hire,
review-clean4-clean-INT-0000047,review-clean4-clean-APP-000022,review-clean4-clean-CAND-02250,Phone Screen,2026-06-06T11:00:00,,Scheduled,,4.4,4.4,Leaning No,Might its last much often lead.
review-clean4-clean-INT-0000048,review-clean4-clean-APP-000022,review-clean4-clean-CAND-02250,Cultural Fit,2026-06-07T12:00:00,2026-06-07T18:00:00,Completed,4.2,2.6,4.7,Hire,Red leader table politics the term.
review-clean4-clean-INT-0000049,review-clean4-clean-APP-000023,review-clean4-clean-CAND-02341,Phone Screen,2026-06-24T14:00:00,2026-06-24T16:00:00,Cancelled,4.5,,3.5,No Hire,Once be end key bank ago.
review-clean4-clean-INT-0000050,review-clean4-clean-APP-000024,review-clean4-clean-CAND-02752,Phone Screen,2026-08-10T13:00:00,2026-08-10T15:00:00,Completed,,4.0,,No Hire,Sometimes end week respond war.
review-clean4-clean-INT-0000051,review-clean4-clean-APP-000025,review-clean4-clean-CAND-00661,Phone Screen,2026-08-14T10:00:00,2026-08-14T15:00:00,Completed,2.2,,,Hire,From lose grow it.
review-clean4-clean-INT-0000052,review-clean4-clean-APP-000025,review-clean4-clean-CAND-00661,Final Panel,2026-08-16T16:00:00,2026-08-16T19:00:00,Completed,,,,No Hire,A full myself measure want rather.
review-clean4-clean-INT-0000053,review-clean4-clean-APP-000026,review-clean4-clean-CAND-01895,Phone Screen,2026-06-15T14:00:00,2026-06-15T17:00:00,Completed,,,4.5,Leaning No,Man fall none rich Congress exist.
review-clean4-clean-INT-0000054,review-clean4-clean-APP-000027,review-clean4-clean-CAND-01252,Phone Screen,2026-08-14T13:00:00,,Scheduled,,,2.8,Hire,Wide happy thought work offer.
review-clean4-clean-INT-0000055,review-clean4-clean-APP-000027,review-clean4-clean-CAND-01252,Phone Screen,2026-08-17T15:00:00,2026-08-17T17:00:00,Completed,2.5,3.0,1.2,Hire,Affect with unit food training population.
review-clean4-clean-INT-0000056,review-clean4-clean-APP-000029,review-clean4-clean-CAND-02711,Phone Screen,2026-07-09T13:00:00,,Scheduled,1.8,4.0,2.5,No Hire,Impact religious social director gas animal.
review-clean4-clean-INT-0000057,review-clean4-clean-APP-000029,review-clean4-clean-CAND-02711,Cultural Fit,2026-07-11T09:00:00,2026-07-11T17:00:00,Completed,1.9,2.3,3.7,Hire,Top somebody itself likely reflect.
review-clean4-clean-INT-0000058,review-clean4-clean-APP-000030,review-clean4-clean-CAND-03407,Phone Screen,2026-07-08T17:00:00,2026-07-08T19:00:00,Cancelled,,2.9,3.0,No Hire,Cold former knowledge feel almost candidate argue television.
review-clean4-clean-INT-0000059,review-clean4-clean-APP-000030,review-clean4-clean-CAND-03407,Coding Challenge,2026-07-11T09:00:00,,Scheduled,1.7,3.9,,Leaning No,Much the yourself into common.
review-clean4-clean-INT-0000060,review-clean4-clean-APP-000031,review-clean4-clean-CAND-03442,Phone Screen,2026-06-17T10:00:00,2026-06-17T16:00:00,Completed,3.5,4.5,,Strong Hire,Themselves feeling yeah author in sense.
review-clean4-clean-INT-0000061,review-clean4-clean-APP-000032,review-clean4-clean-CAND-00161,Phone Screen,2026-07-17T08:00:00,,Scheduled,4.8,2.4,2.4,Leaning No,
review-clean4-clean-INT-0000062,review-clean4-clean-APP-000032,review-clean4-clean-CAND-00161,Coding Challenge,2026-07-20T12:00:00,2026-07-20T18:00:00,Completed,3.2,2.4,,Hire,Positive of serve imagine nice appear history.
review-clean4-clean-INT-0000063,review-clean4-clean-APP-000033,review-clean4-clean-CAND-03117,Phone Screen,2026-06-03T09:00:00,2026-06-03T17:00:00,Completed,2.6,,4.1,Leaning No,Mention determine result be show sure.
review-clean4-clean-INT-0000064,review-clean4-clean-APP-000033,review-clean4-clean-CAND-03117,Coding Challenge,2026-06-05T17:00:00,2026-06-05T18:00:00,Cancelled,,1.9,2.3,No Hire,Keep official over base.
review-clean4-clean-INT-0000065,review-clean4-clean-APP-000034,review-clean4-clean-CAND-02882,Phone Screen,2026-08-01T08:00:00,2026-08-01T15:00:00,Cancelled,2.1,,1.8,No Hire,Possible ability family turn teacher challenge than remain.
review-clean4-clean-INT-0000066,review-clean4-clean-APP-000034,review-clean4-clean-CAND-02882,Cultural Fit,2026-08-02T16:00:00,2026-08-02T20:00:00,Completed,3.3,3.4,4.3,Leaning No,
review-clean4-clean-INT-0000067,review-clean4-clean-APP-000035,review-clean4-clean-CAND-03433,Phone Screen,2026-06-17T10:00:00,2026-06-17T14:00:00,Cancelled,4.2,1.1,,Leaning No,Go heavy little through hold increase appear.
review-clean4-clean-INT-0000068,review-clean4-clean-APP-000035,review-clean4-clean-CAND-03433,Cultural Fit,2026-06-19T16:00:00,2026-06-19T18:00:00,Cancelled,4.4,4.6,3.6,Hire,Section democratic fight example pick.
review-clean4-clean-INT-0000069,review-clean4-clean-APP-000036,review-clean4-clean-CAND-04474,Phone Screen,2026-06-11T13:00:00,2026-06-11T16:00:00,Completed,4.3,3.6,4.9,Hire,Idea sit help school each.
review-clean4-clean-INT-0000070,review-clean4-clean-APP-000037,review-clean4-clean-CAND-01807,Phone Screen,2026-08-26T16:00:00,2026-08-26T18:00:00,Completed,,1.0,4.9,Strong Hire,Mr purpose character develop.
review-clean4-clean-INT-0000071,review-clean4-clean-APP-000037,review-clean4-clean-CAND-01807,Cultural Fit,2026-08-29T12:00:00,2026-08-29T13:00:00,Completed,4.2,,1.7,Strong Hire,Quickly become research sea answer third.
review-clean4-clean-INT-0000072,review-clean4-clean-APP-000038,review-clean4-clean-CAND-02236,Phone Screen,2026-06-13T11:00:00,,Scheduled,3.7,4.8,3.5,No Hire,
review-clean4-clean-INT-0000073,review-clean4-clean-APP-000038,review-clean4-clean-CAND-02236,Phone Screen,2026-06-15T17:00:00,,Scheduled,4.7,3.4,4.2,No Hire,Though feeling term leave.
review-clean4-clean-INT-0000074,review-clean4-clean-APP-000038,review-clean4-clean-CAND-02236,Coding Challenge,2026-06-19T12:00:00,,Scheduled,1.9,2.8,3.5,Hire,Community including career each hotel Mrs.
review-clean4-clean-INT-0000075,review-clean4-clean-APP-000039,review-clean4-clean-CAND-00238,Phone Screen,2026-07-03T11:00:00,,Scheduled,3.8,,,Strong Hire,
review-clean4-clean-INT-0000076,review-clean4-clean-APP-000039,review-clean4-clean-CAND-00238,Coding Challenge,2026-07-06T11:00:00,2026-07-06T16:00:00,Cancelled,3.0,4.8,4.7,No Hire,Meeting top never.
review-clean4-clean-INT-0000077,review-clean4-clean-APP-000040,review-clean4-clean-CAND-03313,Phone Screen,2026-06-21T17:00:00,,Scheduled,2.1,,1.6,Hire,Major many situation whom teach party range practice.
review-clean4-clean-INT-0000078,review-clean4-clean-APP-000041,review-clean4-clean-CAND-03829,Phone Screen,2026-06-11T10:00:00,2026-06-11T17:00:00,Completed,1.3,,5.0,No Hire,
review-clean4-clean-INT-0000079,review-clean4-clean-APP-000042,review-clean4-clean-CAND-04376,Phone Screen,2026-06-09T15:00:00,2026-06-09T21:00:00,Completed,5.0,2.6,2.6,No Hire,
review-clean4-clean-INT-0000080,review-clean4-clean-APP-000043,review-clean4-clean-CAND-04849,Phone Screen,2026-06-16T17:00:00,2026-06-16T22:00:00,Completed,4.0,1.5,3.3,Strong Hire,
review-clean4-clean-INT-0000081,review-clean4-clean-APP-000044,review-clean4-clean-CAND-00223,Phone Screen,2026-08-20T15:00:00,,Scheduled,2.5,,2.5,No Hire,
review-clean4-clean-INT-0000082,review-clean4-clean-APP-000044,review-clean4-clean-CAND-00223,Coding Challenge,2026-08-23T09:00:00,,Scheduled,3.8,,2.8,No Hire,Stuff require catch government couple.
review-clean4-clean-INT-0000083,review-clean4-clean-APP-000044,review-clean4-clean-CAND-00223,Coding Challenge,2026-08-24T10:00:00,2026-08-24T18:00:00,Cancelled,4.8,3.5,1.7,Hire,Skin there thank while six live letter.
review-clean4-clean-INT-0000084,review-clean4-clean-APP-000045,review-clean4-clean-CAND-03512,Phone Screen,2026-06-21T17:00:00,,Scheduled,3.4,1.6,,No Hire,Little agent the against term instead great.
review-clean4-clean-INT-0000085,review-clean4-clean-APP-000046,review-clean4-clean-CAND-01489,Phone Screen,2026-07-15T11:00:00,,Scheduled,1.8,2.2,3.7,Hire,Others go fear away senior.
review-clean4-clean-INT-0000086,review-clean4-clean-APP-000047,review-clean4-clean-CAND-03106,Phone Screen,2026-06-05T16:00:00,2026-06-05T18:00:00,Cancelled,4.1,2.6,2.6,Hire,
review-clean4-clean-INT-0000087,review-clean4-clean-APP-000047,review-clean4-clean-CAND-03106,Coding Challenge,2026-06-08T12:00:00,,Scheduled,4.0,5.0,4.1,Strong Hire,
review-clean4-clean-INT-0000088,review-clean4-clean-APP-000048,review-clean4-clean-CAND-03725,Phone Screen,2026-08-12T13:00:00,2026-08-12T15:00:00,Completed,3.8,2.9,4.7,Hire,Prepare debate perform around allow.
review-clean4-clean-INT-0000089,review-clean4-clean-APP-000048,review-clean4-clean-CAND-03725,Cultural Fit,2026-08-13T13:00:00,2026-08-13T20:00:00,Completed,,1.2,2.1,Hire,
review-clean4-clean-INT-0000090,review-clean4-clean-APP-000050,review-clean4-clean-CAND-02067,Phone Screen,2026-06-11T12:00:00,2026-06-11T15:00:00,Completed,2.6,3.1,,Leaning No,
review-clean4-clean-INT-0000091,review-clean4-clean-APP-000050,review-clean4-clean-CAND-02067,Phone Screen,2026-06-12T09:00:00,2026-06-12T10:00:00,Completed,3.1,4.9,3.0,Hire,Number everyone almost.
review-clean4-clean-INT-0000092,review-clean4-clean-APP-000050,review-clean4-clean-CAND-02067,Final Panel,2026-06-13T11:00:00,,Scheduled,2.3,1.2,4.2,Hire,Head ground media drug fact enjoy.
review-clean4-clean-INT-0000093,review-clean4-clean-APP-000052,review-clean4-clean-CAND-04419,Phone Screen,2026-07-26T08:00:00,2026-07-26T13:00:00,Cancelled,,,1.6,No Hire,Moment when four price half.
review-clean4-clean-INT-0000094,review-clean4-clean-APP-000053,review-clean4-clean-CAND-01837,Phone Screen,2026-08-16T14:00:00,2026-08-16T20:00:00,Completed,4.6,1.7,4.6,Leaning No,
review-clean4-clean-INT-0000095,review-clean4-clean-APP-000053,review-clean4-clean-CAND-01837,Technical,2026-08-17T17:00:00,2026-08-17T23:00:00,Completed,,3.8,3.1,No Hire,West trial ten candidate in worker.
review-clean4-clean-INT-0000096,review-clean4-clean-APP-000054,review-clean4-clean-CAND-00330,Phone Screen,2026-08-17T17:00:00,2026-08-17T22:00:00,Completed,2.7,,3.9,Leaning No,Raise trip several technology already letter talk number.
review-clean4-clean-INT-0000097,review-clean4-clean-APP-000054,review-clean4-clean-CAND-00330,Phone Screen,2026-08-18T09:00:00,2026-08-18T14:00:00,Cancelled,,3.7,1.5,Hire,Audience save spring once.
review-clean4-clean-INT-0000098,review-clean4-clean-APP-000055,review-clean4-clean-CAND-02026,Phone Screen,2026-06-29T13:00:00,2026-06-29T20:00:00,Completed,4.0,4.0,1.5,Leaning No,Station back outside she maybe option.
review-clean4-clean-INT-0000099,review-clean4-clean-APP-000055,review-clean4-clean-CAND-02026,Final Panel,2026-07-01T10:00:00,2026-07-01T12:00:00,Completed,1.4,,3.4,Leaning No,Street year beautiful big thought maybe.
review-clean4-clean-INT-0000100,review-clean4-clean-APP-000056,review-clean4-clean-CAND-01249,Phone Screen,2026-05-26T09:00:00,,Scheduled,3.3,,1.8,Leaning No,
review-clean4-clean-INT-0000101,review-clean4-clean-APP-000057,review-clean4-clean-CAND-03880,Phone Screen,2026-07-19T09:00:00,2026-07-19T14:00:00,Completed,4.8,2.8,2.2,Hire,Skin everybody interview find fill large type.
review-clean4-clean-INT-0000102,review-clean4-clean-APP-000057,review-clean4-clean-CAND-03880,Technical,2026-07-22T09:00:00,2026-07-22T17:00:00,Completed,4.6,4.3,3.3,Strong Hire,Poor possible memory protect exactly left on.
review-clean4-clean-INT-0000103,review-clean4-clean-APP-000058,review-clean4-clean-CAND-04621,Phone Screen,2026-06-09T17:00:00,2026-06-09T19:00:00,Cancelled,,2.8,2.9,Hire,Provide teach street natural chair pass.
review-clean4-clean-INT-0000104,review-clean4-clean-APP-000058,review-clean4-clean-CAND-04621,Technical,2026-06-11T09:00:00,2026-06-11T17:00:00,Completed,,,1.1,Strong Hire,Republican hard gas outside heart money.
review-clean4-clean-INT-0000105,review-clean4-clean-APP-000059,review-clean4-clean-CAND-03810,Phone Screen,2026-07-05T15:00:00,2026-07-05T17:00:00,Cancelled,,4.6,,Hire,Attack responsibility reduce reality about Congress region many.
review-clean4-clean-INT-0000106,review-clean4-clean-APP-000059,review-clean4-clean-CAND-03810,Coding Challenge,2026-07-07T14:00:00,2026-07-07T21:00:00,Completed,4.8,,2.6,Hire,
review-clean4-clean-INT-0000107,review-clean4-clean-APP-000059,review-clean4-clean-CAND-03810,Coding Challenge,2026-07-07T11:00:00,,Scheduled,2.4,1.7,,No Hire,Talk firm study quite perhaps.
review-clean4-clean-INT-0000108,review-clean4-clean-APP-000060,review-clean4-clean-CAND-03022,Phone Screen,2026-06-12T13:00:00,2026-06-12T21:00:00,Completed,2.3,4.5,2.2,Strong Hire,Company choose effect great describe because.
review-clean4-clean-INT-0000109,review-clean4-clean-APP-000060,review-clean4-clean-CAND-03022,Phone Screen,2026-06-15T08:00:00,2026-06-15T14:00:00,Completed,3.1,,3.7,Hire,Heavy final film test degree opportunity.
review-clean4-clean-INT-0000110,review-clean4-clean-APP-000060,review-clean4-clean-CAND-03022,Technical,2026-06-14T09:00:00,2026-06-14T14:00:00,Completed,4.6,4.2,3.1,Leaning No,
review-clean4-clean-INT-0000111,review-clean4-clean-APP-000062,review-clean4-clean-CAND-00939,Phone Screen,2026-07-17T17:00:00,2026-07-18T01:00:00,Cancelled,4.4,2.7,2.7,Hire,
review-clean4-clean-INT-0000112,review-clean4-clean-APP-000062,review-clean4-clean-CAND-00939,Coding Challenge,2026-07-18T15:00:00,2026-07-18T22:00:00,Completed,,,,Leaning No,Education run matter cold.
review-clean4-clean-INT-0000113,review-clean4-clean-APP-000063,review-clean4-clean-CAND-02549,Phone Screen,2026-08-06T13:00:00,,Scheduled,2.1,3.4,1.5,Strong Hire,Federal few campaign could paper example admit.
review-clean4-clean-INT-0000114,review-clean4-clean-APP-000064,review-clean4-clean-CAND-00211,Phone Screen,2026-07-09T10:00:00,,Scheduled,1.8,,2.1,Hire,
review-clean4-clean-INT-0000115,review-clean4-clean-APP-000065,review-clean4-clean-CAND-04717,Phone Screen,2026-08-04T16:00:00,,Scheduled,2.7,4.6,,Hire,Trouble difficult mean population.
review-clean4-clean-INT-0000116,review-clean4-clean-APP-000065,review-clean4-clean-CAND-04717,Phone Screen,2026-08-05T13:00:00,,Scheduled,4.3,2.7,3.0,No Hire,Yeah Mr security record teacher including.
review-clean4-clean-INT-0000117,review-clean4-clean-APP-000065,review-clean4-clean-CAND-04717,Final Panel,2026-08-10T08:00:00,,Scheduled,4.6,2.5,3.7,Hire,
review-clean4-clean-INT-0000118,review-clean4-clean-APP-000066,review-clean4-clean-CAND-03250,Phone Screen,2026-06-23T17:00:00,,Scheduled,3.4,4.3,3.4,Hire,Look believe bed data hand measure could.
review-clean4-clean-INT-0000119,review-clean4-clean-APP-000066,review-clean4-clean-CAND-03250,Technical,2026-06-26T14:00:00,,Scheduled,3.0,2.3,4.0,No Hire,Green hear environment war.
review-clean4-clean-INT-0000120,review-clean4-clean-APP-000067,review-clean4-clean-CAND-01625,Phone Screen,2026-08-23T17:00:00,2026-08-23T21:00:00,Completed,1.6,2.7,2.8,No Hire,Significant movement bad decide perform money.
review-clean4-clean-INT-0000121,review-clean4-clean-APP-000068,review-clean4-clean-CAND-01990,Phone Screen,2026-07-12T12:00:00,2026-07-12T19:00:00,Cancelled,4.5,1.7,4.3,Leaning No,Half cold budget nearly foreign theory southern.
review-clean4-clean-INT-0000122,review-clean4-clean-APP-000068,review-clean4-clean-CAND-01990,Coding Challenge,2026-07-13T12:00:00,2026-07-13T15:00:00,Completed,2.7,2.1,2.0,Strong Hire,Speak mission relationship quality.
review-clean4-clean-INT-0000123,review-clean4-clean-APP-000069,review-clean4-clean-CAND-02471,Phone Screen,2026-08-06T17:00:00,2026-08-06T18:00:00,Completed,4.7,,2.5,Leaning No,True wife network heart.
review-clean4-clean-INT-0000124,review-clean4-clean-APP-000070,review-clean4-clean-CAND-04919,Phone Screen,2026-06-30T09:00:00,,Scheduled,,,4.2,Strong Hire,Space style win book leave serious.
review-clean4-clean-INT-0000125,review-clean4-clean-APP-000070,review-clean4-clean-CAND-04919,Technical,2026-07-02T12:00:00,2026-07-02T14:00:00,Completed,1.5,3.7,2.2,Hire,Democrat day take onto.
review-clean4-clean-INT-0000126,review-clean4-clean-APP-000071,review-clean4-clean-CAND-04637,Phone Screen,2026-08-19T10:00:00,2026-08-19T15:00:00,Cancelled,1.8,4.1,4.8,Leaning No,Mouth west begin through she.
review-clean4-clean-INT-0000127,review-clean4-clean-APP-000071,review-clean4-clean-CAND-04637,Phone Screen,2026-08-21T17:00:00,2026-08-21T18:00:00,Completed,3.7,4.6,4.7,Hire,Yeah whether assume election.
review-clean4-clean-INT-0000128,review-clean4-clean-APP-000071,review-clean4-clean-CAND-04637,Technical,2026-08-25T12:00:00,2026-08-25T13:00:00,Completed,3.5,4.5,4.4,Strong Hire,Country camera parent staff find church.
review-clean4-clean-INT-0000129,review-clean4-clean-APP-000072,review-clean4-clean-CAND-02845,Phone Screen,2026-07-10T08:00:00,2026-07-10T09:00:00,Completed,,3.5,1.1,Hire,Then off season drug several appear onto type.
review-clean4-clean-INT-0000130,review-clean4-clean-APP-000073,review-clean4-clean-CAND-03036,Phone Screen,2026-07-30T14:00:00,2026-07-30T19:00:00,Completed,4.8,4.1,3.9,Hire,
