customer_id,order_id,amount,date,segment
CUST-25,ORD-1074,800.0,2026-08-01,SMB
CUST-26,ORD-1075,850.0,2026-08-01,Enterprise
CUST-27,ORD-1076,900.0,2026-08-01,Mid-Market
CUST-28,ORD-1077,950.0,2026-08-01,SMB
CUST-29,ORD-1078,1000.0,2026-08-01,Enterprise
CUST-30,ORD-1079,1050.0,2026-08-01,Mid-Market
CUST-31,ORD-1080,100.0,2026-08-01,SMB
CUST-32,ORD-1081,150.0,2026-08-01,Enterprise
CUST-33,ORD-1082,200.0,2026-08-01,Mid-Market
CUST-34,ORD-1083,250.0,2026-08-01,SMB
CUST-35,ORD-1084,300.0,2026-08-01,Enterprise
CUST-36,ORD-1085,350.0,2026-08-01,Mid-Market
CUST-37,ORD-1086,400.0,2026-08-01,SMB
CUST-38,ORD-1087,450.0,2026-08-01,Enterprise
CUST-39,ORD-1088,500.0,2026-08-01,Mid-Market
CUST-40,ORD-1089,550.0,2026-08-01,SMB
CUST-41,ORD-1090,600.0,2026-08-01,Enterprise
CUST-42,ORD-1091,650.0,2026-08-01,Mid-Market
CUST-43,ORD-1092,700.0,2026-08-01,SMB
CUST-44,ORD-1093,750.0,2026-08-01,Enterprise
CUST-45,ORD-1094,800.0,2026-08-01,Mid-Market
CUST-46,ORD-1095,850.0,2026-08-01,SMB
CUST-47,ORD-1096,900.0,2026-08-01,Enterprise
CUST-48,ORD-1097,950.0,2026-08-01,Mid-Market
CUST-49,ORD-1098,1000.0,2026-08-01,SMB
CUST-50,ORD-1099,1050.0,2026-08-01,Enterprise
CUST-1,ORD-1100,100.0,2026-08-01,Mid-Market
CUST-2,ORD-1101,150.0,2026-08-01,SMB
CUST-3,ORD-1102,200.0,2026-08-01,Enterprise
CUST-4,ORD-1103,250.0,2026-08-01,Mid-Market
CUST-5,ORD-1104,300.0,2026-08-01,SMB
CUST-6,ORD-1105,350.0,2026-08-01,Enterprise
CUST-7,ORD-1106,400.0,2026-08-01,Mid-Market
CUST-8,ORD-1107,450.0,2026-08-01,SMB
CUST-9,ORD-1108,500.0,2026-08-01,Enterprise
CUST-10,ORD-1109,550.0,2026-08-01,Mid-Market
