onboarding_id,offer_id,application_id,candidate_id,planned_joining_date,actual_joining_date,joining_status,no_join_reason,onboarding_completed
review-clean4-messy-ONB-000018,review-clean4-messy-OFF-000042,review-clean4-messy-APP-000666,review-clean4-messy-CAND-00511,2026-10-07,2026-10-10,No hire,Personal reasons,False
review-clean4-messy-ONB-000019,review-clean4-messy-OFF-000043,review-clean4-messy-APP-000707,review-clean4-messy-CAND-00076,09/06/2026,,Joined,Found other offer,False
review-clean4-messy-ONB-000020,review-clean4-messy-OFF-000044,review-clean4-messy-APP-000713,review-clean4-messy-CAND-00923,09/09/2026,2026-09-12,Joined,,false
review-clean4-messy-ONB-000021,review-clean4-messy-OFF-000046,review-clean4-messy-APP-000738,review-clean4-messy-CAND-04404,2026-09-02,2026-08-31,Joined,,False
review-clean4-messy-ONB-000022,review-clean4-messy-OFF-000053,review-clean4-messy-APP-000830,review-clean4-messy-CAND-03421,2026-07-27,2026-08-01,Done,Found other offer,False
review-clean4-messy-ONB-000023,review-clean4-messy-OFF-000055,review-clean4-messy-APP-000949,review-clean4-messy-CAND-02909,2026-09-08,,Joined,Personal reasons,False
review-clean4-messy-ONB-000024,review-clean4-messy-OFF-000059,review-clean4-messy-APP-001017,review-clean4-messy-CAND-04441,10/03/2026,,No Show,,True
review-clean4-messy-ONB-000025,review-clean4-messy-OFF-000064,review-clean4-messy-APP-001068,review-clean4-messy-CAND-01853,10/01/2026,2026-10-04,no show,,true
review-clean4-messy-ONB-000026,review-clean4-messy-OFF-000070,review-clean4-messy-APP-001114,review-clean4-messy-CAND-01273,2026-09-15,2026-09-18,Cancelled,,True
review-clean4-messy-ONB-000027,review-clean4-messy-OFF-000074,review-clean4-messy-APP-001165,review-clean4-messy-CAND-02520,2026-10-17,,JOINED,,False
review-clean4-messy-ONB-000028,review-clean4-messy-OFF-000077,review-clean4-messy-APP-001191,review-clean4-messy-CAND-02686,09/18/2026,2026-09-18,No Show,,False
review-clean4-messy-ONB-000029,review-clean4-messy-OFF-000079,review-clean4-messy-APP-001235,review-clean4-messy-CAND-00459,2026-09-28,,No Show,,False
review-clean4-messy-ONB-000030,review-clean4-messy-OFF-000080,review-clean4-messy-APP-001241,review-clean4-messy-CAND-00232,2026-08-28,,Postponed,,False
review-clean4-messy-ONB-000031,review-clean4-messy-OFF-000081,review-clean4-messy-APP-001265,review-clean4-messy-CAND-03100,08/20/2026,2026-08-21,Offer accepted,,True
review-clean4-messy-ONB-000032,review-clean4-messy-OFF-000084,review-clean4-messy-APP-001314,review-clean4-messy-CAND-02171,2026-08-13,,No Show,,True
review-clean4-messy-ONB-000033,review-clean4-messy-OFF-000086,review-clean4-messy-APP-001340,review-clean4-messy-CAND-02113,2026-08-12,,No Show,,True
review-clean4-messy-ONB-000034,review-clean4-messy-OFF-000090,review-clean4-messy-APP-001375,review-clean4-messy-CAND-00238,2026-08-04,,No Show,,True
review-clean4-messy-ONB-000035,review-clean4-messy-OFF-000092,review-clean4-messy-APP-001386,review-clean4-messy-CAND-02119,08/24/2026,2026-08-29,Joined,Found other offer,True
review-clean4-messy-ONB-000036,review-clean4-messy-OFF-000095,review-clean4-messy-APP-001429,review-clean4-messy-CAND-02516,2026-08-15,2026-08-15,Joined,,True
review-clean4-messy-ONB-000037,review-clean4-messy-OFF-000096,review-clean4-messy-APP-001446,review-clean4-messy-CAND-04721,2026-09-10,2026-09-08,Joined,,True
review-clean4-messy-ONB-000038,review-clean4-messy-OFF-000098,review-clean4-messy-APP-001502,review-clean4-messy-CAND-00818,09/17/2026,09/16/2026,Cancelled,,True
review-clean4-messy-ONB-000039,review-clean4-messy-OFF-000100,review-clean4-messy-APP-001531,review-clean4-messy-CAND-02772,08/22/2026,,Cancelled,Found other offer,False
review-clean4-messy-ONB-000040,review-clean4-messy-OFF-000101,review-clean4-messy-APP-001532,review-clean4-messy-CAND-00781,2026-10-09,2026-10-12,Cancelled,,False
review-clean4-messy-ONB-000041,review-clean4-messy-OFF-000106,review-clean4-messy-APP-001612,review-clean4-messy-CAND-02357,2026-07-29,08/02/2026,Joined,,True
review-clean4-messy-ONB-000042,review-clean4-messy-OFF-000118,review-clean4-messy-APP-001742,review-clean4-messy-CAND-00381,08/15/2026,2026-08-13,Postponed,,YES
review-clean4-messy-ONB-000043,review-clean4-messy-OFF-000119,review-clean4-messy-APP-001744,review-clean4-messy-CAND-04272,08/22/2026,,Offer accepted,,No
review-clean4-messy-ONB-000044,review-clean4-messy-OFF-000122,review-clean4-messy-APP-001816,review-clean4-messy-CAND-03262,09/15/2026,2026-09-19,Cancelled,,False
review-clean4-messy-ONB-000045,review-clean4-messy-OFF-000128,review-clean4-messy-APP-001943,review-clean4-messy-CAND-01923,08/10/2026,,No Show,Found other offer,true
review-clean4-messy-ONB-000046,review-clean4-messy-OFF-000131,review-clean4-messy-APP-001966,review-clean4-messy-CAND-02997,2026-09-23,2026-09-25,Cancelled,,No
review-clean4-messy-ONB-000047,review-clean4-messy-OFF-000137,review-clean4-messy-APP-002046,review-clean4-messy-CAND-04145,2026-08-08,2026-08-13,Cancelled,Found other offer,False
review-clean4-messy-ONB-000048,review-clean4-messy-OFF-000140,review-clean4-messy-APP-002073,review-clean4-messy-CAND-00639,09/07/2026,2026-09-05,Joined,,YES
review-clean4-messy-ONB-000049,review-clean4-messy-OFF-000143,review-clean4-messy-APP-002108,review-clean4-messy-CAND-03008,2026-07-11,,Joined,,YES
review-clean4-messy-ONB-000050,review-clean4-messy-OFF-000144,review-clean4-messy-APP-002118,review-clean4-messy-CAND-02740,08/15/2026,2026-08-19,Cancelled,,YES
review-clean4-messy-ONB-000051,review-clean4-messy-OFF-000151,review-clean4-messy-APP-002170,review-clean4-messy-CAND-02223,2026-08-12,08/17/2026,Postponed,,YES
review-clean4-messy-ONB-000052,review-clean4-messy-OFF-000159,review-clean4-messy-APP-002341,review-clean4-messy-CAND-03045,2026-07-09,2026-07-14,no show,,No
review-clean4-messy-ONB-000053,review-clean4-messy-OFF-000163,review-clean4-messy-APP-002446,review-clean4-messy-CAND-00694,2026-09-05,2026-09-09,JOINED,,True
review-clean4-messy-ONB-000054,review-clean4-messy-OFF-000167,review-clean4-messy-APP-002480,review-clean4-messy-CAND-00676,2026-09-02,2026-08-31,Postponed,Found other offer,False
review-clean4-messy-ONB-000055,review-clean4-messy-OFF-000169,review-clean4-messy-APP-002500,review-clean4-messy-CAND-03267,08/24/2026,,Cancelled,,False
review-clean4-messy-ONB-000056,review-clean4-messy-OFF-000172,review-clean4-messy-APP-002539,review-clean4-messy-CAND-04029,2026-09-23,2026-09-27,Cancelled,,True
review-clean4-messy-ONB-000057,review-clean4-messy-OFF-000173,review-clean4-messy-APP-002572,review-clean4-messy-CAND-00208,08/02/2026,2026-08-04,No Show,Personal reasons,False
review-clean4-messy-ONB-000058,review-clean4-messy-OFF-000175,review-clean4-messy-APP-002617,review-clean4-messy-CAND-02468,09/03/2026,2026-09-05,Cancelled,Found other offer,True
review-clean4-messy-ONB-000059,review-clean4-messy-OFF-000177,review-clean4-messy-APP-002679,review-clean4-messy-CAND-03804,2026-08-09,,Postponed,,True
review-clean4-messy-ONB-000060,review-clean4-messy-OFF-000182,review-clean4-messy-APP-002736,review-clean4-messy-CAND-01681,2026-08-18,2026-08-17,Done,Found other offer,True
review-clean4-messy-ONB-000061,review-clean4-messy-OFF-000184,review-clean4-messy-APP-002773,review-clean4-messy-CAND-01144,2026-10-07,,No Show,Found other offer,True
review-clean4-messy-ONB-000062,review-clean4-messy-OFF-000185,review-clean4-messy-APP-002796,review-clean4-messy-CAND-03573,09/04/2026,2026-09-06,No Show,,True
review-clean4-messy-ONB-000063,review-clean4-messy-OFF-000186,review-clean4-messy-APP-002861,review-clean4-messy-CAND-04213,09/16/2026,2026-09-14,Cancelled,,True
review-clean4-messy-ONB-000064,review-clean4-messy-OFF-000190,review-clean4-messy-APP-002907,review-clean4-messy-CAND-00295,10/01/2026,2026-10-03,Done,Personal reasons,False
review-clean4-messy-ONB-000065,review-clean4-messy-OFF-000193,review-clean4-messy-APP-002948,review-clean4-messy-CAND-03294,08/06/2026,2026-08-08,no show,Personal reasons,False
review-clean4-messy-ONB-000066,review-clean4-messy-OFF-000195,review-clean4-messy-APP-002955,review-clean4-messy-CAND-03547,09/06/2026,2026-09-08,Joined,,true
review-clean4-messy-ONB-000067,review-clean4-messy-OFF-000199,review-clean4-messy-APP-002981,review-clean4-messy-CAND-04512,07/24/2026,2026-07-23,Postponed,,YES
review-clean4-messy-ONB-000068,review-clean4-messy-OFF-000200,review-clean4-messy-APP-003013,review-clean4-messy-CAND-02973,08/16/2026,2026-08-18,Joined,,True
review-clean4-messy-ONB-000069,review-clean4-messy-OFF-000206,review-clean4-messy-APP-003071,review-clean4-messy-CAND-00781,09/26/2026,09/29/2026,Joined,,True
review-clean4-messy-ONB-000070,review-clean4-messy-OFF-000210,review-clean4-messy-APP-003118,review-clean4-messy-CAND-03931,2026-09-21,,Joined,,YES
review-clean4-messy-ONB-000071,review-clean4-messy-OFF-000212,review-clean4-messy-APP-003130,review-clean4-messy-CAND-03297,09/30/2026,2026-10-04,No Show,,True
review-clean4-messy-ONB-000072,review-clean4-messy-OFF-000216,review-clean4-messy-APP-003173,review-clean4-messy-CAND-03909,10/15/2026,,Rejected,,True
review-clean4-messy-ONB-000073,review-clean4-messy-OFF-000218,review-clean4-messy-APP-003230,review-clean4-messy-CAND-01858,2026-09-04,2026-09-07,POSTPONED,Found other offer,True
review-clean4-messy-ONB-000074,review-clean4-messy-OFF-000221,review-clean4-messy-APP-003334,review-clean4-messy-CAND-00367,2026-10-04,,Joined,,YES
review-clean4-messy-ONB-000075,review-clean4-messy-OFF-000222,review-clean4-messy-APP-003351,review-clean4-messy-CAND-00698,2026-09-27,2026-10-02,Done,Found other offer,False
review-clean4-messy-ONB-000076,review-clean4-messy-OFF-000223,review-clean4-messy-APP-003356,review-clean4-messy-CAND-01473,2026-10-04,,Done,Found other offer,true
review-clean4-messy-ONB-000077,review-clean4-messy-OFF-000229,review-clean4-messy-APP-003443,review-clean4-messy-CAND-01572,09/20/2026,09/24/2026,Postponed,Found other offer,false
review-clean4-messy-ONB-000078,review-clean4-messy-OFF-000230,review-clean4-messy-APP-003455,review-clean4-messy-CAND-02591,2026-07-13,,Cancelled,,true
review-clean4-messy-ONB-000079,review-clean4-messy-OFF-000233,review-clean4-messy-APP-003482,review-clean4-messy-CAND-03368,07/26/2026,2026-07-24,No Show,,False
review-clean4-messy-ONB-000080,review-clean4-messy-OFF-000234,review-clean4-messy-APP-003488,review-clean4-messy-CAND-00885,2026-09-08,,No Show,,False
review-clean4-messy-ONB-000081,review-clean4-messy-OFF-000235,review-clean4-messy-APP-003517,review-clean4-messy-CAND-00031,09/27/2026,,Cancelled,Personal reasons,false
review-clean4-messy-ONB-000082,review-clean4-messy-OFF-000238,review-clean4-messy-APP-003580,review-clean4-messy-CAND-02413,2026-08-08,,Cancelled,Personal reasons,YES
review-clean4-messy-ONB-000083,review-clean4-messy-OFF-000239,review-clean4-messy-APP-003586,review-clean4-messy-CAND-01611,10/16/2026,,Postponed,Found other offer,false
review-clean4-messy-ONB-000084,review-clean4-messy-OFF-000241,review-clean4-messy-APP-003620,review-clean4-messy-CAND-00522,2026-09-27,2026-09-25,Joined,,False
review-clean4-messy-ONB-000085,review-clean4-messy-OFF-000242,review-clean4-messy-APP-003639,review-clean4-messy-CAND-03890,2026-08-30,08/29/2026,Cancelled,,False
review-clean4-messy-ONB-000086,review-clean4-messy-OFF-000243,review-clean4-messy-APP-003660,review-clean4-messy-CAND-00547,2026-09-23,,joined,,True
review-clean4-messy-ONB-000087,review-clean4-messy-OFF-000244,review-clean4-messy-APP-003678,review-clean4-messy-CAND-01322,2026-09-30,2026-10-04,No hire,,true
review-clean4-messy-ONB-000088,review-clean4-messy-OFF-000247,review-clean4-messy-APP-003716,review-clean4-messy-CAND-03184,2026-09-09,09/11/2026,Rejected,Personal reasons,No
review-clean4-messy-ONB-000089,review-clean4-messy-OFF-000248,review-clean4-messy-APP-003728,review-clean4-messy-CAND-01655,08/01/2026,2026-07-31,No Show,,False
review-clean4-messy-ONB-000090,review-clean4-messy-OFF-000249,review-clean4-messy-APP-003735,review-clean4-messy-CAND-02364,2026-07-13,,Joined,,No
review-clean4-messy-ONB-000091,review-clean4-messy-OFF-000251,review-clean4-messy-APP-003751,review-clean4-messy-CAND-01619,08/12/2026,08/16/2026,Postponed,,False
review-clean4-messy-ONB-000092,review-clean4-messy-OFF-000254,review-clean4-messy-APP-003838,review-clean4-messy-CAND-02917,2026-09-26,,Postponed,,False
review-clean4-messy-ONB-000093,review-clean4-messy-OFF-000257,review-clean4-messy-APP-003961,review-clean4-messy-CAND-01008,2026-07-20,2026-07-24,Offer accepted,,True
review-clean4-messy-ONB-000094,review-clean4-messy-OFF-000258,review-clean4-messy-APP-003963,review-clean4-messy-CAND-01321,2026-09-05,09/06/2026,Cancelled,,True
review-clean4-messy-ONB-000095,review-clean4-messy-OFF-000266,review-clean4-messy-APP-004109,review-clean4-messy-CAND-03493,2026-08-11,,Cancelled,,YES
review-clean4-messy-ONB-000096,review-clean4-messy-OFF-000267,review-clean4-messy-APP-004112,review-clean4-messy-CAND-02511,2026-07-30,08/04/2026,Postponed,,True
review-clean4-messy-ONB-000097,review-clean4-messy-OFF-000268,review-clean4-messy-APP-004116,review-clean4-messy-CAND-00424,07/11/2026,,Cancelled,Found other offer,True
review-clean4-messy-ONB-000098,review-clean4-messy-OFF-000269,review-clean4-messy-APP-004117,review-clean4-messy-CAND-02206,2026-08-18,08/17/2026,Joined,,False
review-clean4-messy-ONB-000099,review-clean4-messy-OFF-000270,review-clean4-messy-APP-004150,review-clean4-messy-CAND-00555,10/09/2026,2026-10-12,Rejected,,True
review-clean4-messy-ONB-000100,review-clean4-messy-OFF-000271,review-clean4-messy-APP-004171,review-clean4-messy-CAND-00321,2026-08-22,08/25/2026,cancelled,,True
review-clean4-messy-ONB-000101,review-clean4-messy-OFF-000272,review-clean4-messy-APP-004191,review-clean4-messy-CAND-03240,2026-09-30,,No Show,,True
review-clean4-messy-ONB-000102,review-clean4-messy-OFF-000273,review-clean4-messy-APP-004204,review-clean4-messy-CAND-03298,2026-08-18,2026-08-22,Offer accepted,Personal reasons,False
review-clean4-messy-ONB-000103,review-clean4-messy-OFF-000274,review-clean4-messy-APP-004216,review-clean4-messy-CAND-03640,2026-09-12,,No Show,,True
review-clean4-messy-ONB-000104,review-clean4-messy-OFF-000275,review-clean4-messy-APP-004222,review-clean4-messy-CAND-02431,2026-08-14,2026-08-17,Done,,True
review-clean4-messy-ONB-000105,review-clean4-messy-OFF-000281,review-clean4-messy-APP-004312,review-clean4-messy-CAND-00266,2026-08-10,2026-08-10,Postponed,,False
review-clean4-messy-ONB-000106,review-clean4-messy-OFF-000284,review-clean4-messy-APP-004324,review-clean4-messy-CAND-03131,07/15/2026,2026-07-13,No Show,,True
review-clean4-messy-ONB-000107,review-clean4-messy-OFF-000289,review-clean4-messy-APP-004431,review-clean4-messy-CAND-03639,2026-09-26,,Cancelled,Found other offer,True
review-clean4-messy-ONB-000108,review-clean4-messy-OFF-000291,review-clean4-messy-APP-004481,review-clean4-messy-CAND-00626,2026-09-08,,Joined,,false
review-clean4-messy-ONB-000109,review-clean4-messy-OFF-000292,review-clean4-messy-APP-004493,review-clean4-messy-CAND-04391,2026-08-09,2026-08-12,No Show,,YES
review-clean4-messy-ONB-000110,review-clean4-messy-OFF-000302,review-clean4-messy-APP-004632,review-clean4-messy-CAND-02722,2026-10-12,,No Show,Found other offer,True
review-clean4-messy-ONB-000111,review-clean4-messy-OFF-000303,review-clean4-messy-APP-004633,review-clean4-messy-CAND-01162,2026-09-21,09/24/2026,No Show,,No
review-clean4-messy-ONB-000112,review-clean4-messy-OFF-000306,review-clean4-messy-APP-004694,review-clean4-messy-CAND-01420,08/30/2026,,No hire,Found other offer,True
review-clean4-messy-ONB-000113,review-clean4-messy-OFF-000307,review-clean4-messy-APP-004698,review-clean4-messy-CAND-04541,2026-08-29,,No Show,,True
review-clean4-messy-ONB-000114,review-clean4-messy-OFF-000310,review-clean4-messy-APP-004780,review-clean4-messy-CAND-00528,2026-09-02,2026-09-03,Joined,Found other offer,false
review-clean4-messy-ONB-000115,review-clean4-messy-OFF-000312,review-clean4-messy-APP-004817,review-clean4-messy-CAND-02155,2026-08-29,09/03/2026,No Show,,False
review-clean4-messy-ONB-000116,review-clean4-messy-OFF-000313,review-clean4-messy-APP-004826,review-clean4-messy-CAND-02834,2026-09-03,2026-09-06,No Show,Found other offer,False
review-clean4-messy-ONB-000117,review-clean4-messy-OFF-000317,review-clean4-messy-APP-004886,review-clean4-messy-CAND-04987,2026-09-30,10/01/2026,Joined,,YES
review-clean4-messy-ONB-000118,review-clean4-messy-OFF-000318,review-clean4-messy-APP-004896,review-clean4-messy-CAND-02131,2026-09-17,09/17/2026,Rejected,Found other offer,True
review-clean4-messy-ONB-000119,review-clean4-messy-OFF-000321,review-clean4-messy-APP-004904,review-clean4-messy-CAND-02053,2026-08-10,2026-08-10,Postponed,Personal reasons,False
review-clean4-messy-ONB-000120,review-clean4-messy-OFF-000322,review-clean4-messy-APP-004920,review-clean4-messy-CAND-00407,2026-07-23,2026-07-21,Joined,,False
review-clean4-messy-ONB-000121,review-clean4-messy-OFF-000324,review-clean4-messy-APP-004963,review-clean4-messy-CAND-02965,2026-09-24,2026-09-26,Rejected,,No
review-clean4-messy-ONB-000122,review-clean4-messy-OFF-000337,review-clean4-messy-APP-005092,review-clean4-messy-CAND-01879,2026-08-06,2026-08-09,JOINED,,True
review-clean4-messy-ONB-000123,review-clean4-messy-OFF-000341,review-clean4-messy-APP-005142,review-clean4-messy-CAND-04004,2026-07-30,2026-08-04,No Show,,false
review-clean4-messy-ONB-000124,review-clean4-messy-OFF-000342,review-clean4-messy-APP-005157,review-clean4-messy-CAND-03568,2026-10-13,2026-10-16,Cancelled,Found other offer,True
review-clean4-messy-ONB-000125,review-clean4-messy-OFF-000344,review-clean4-messy-APP-005194,review-clean4-messy-CAND-03896,2026-08-29,2026-08-30,Joined,,False
review-clean4-messy-ONB-000126,review-clean4-messy-OFF-000345,review-clean4-messy-APP-005202,review-clean4-messy-CAND-04277,2026-08-05,,No hire,Found other offer,True
review-clean4-messy-ONB-000127,review-clean4-messy-OFF-000347,review-clean4-messy-APP-005237,review-clean4-messy-CAND-00137,2026-07-21,2026-07-26,Joined,,False
review-clean4-messy-ONB-000128,review-clean4-messy-OFF-000348,review-clean4-messy-APP-005255,review-clean4-messy-CAND-00165,07/26/2026,2026-07-25,No Show,,False
review-clean4-messy-ONB-000129,review-clean4-messy-OFF-000350,review-clean4-messy-APP-005261,review-clean4-messy-CAND-03108,2026-08-18,,Postponed,,true
review-clean4-messy-ONB-000130,review-clean4-messy-OFF-000352,review-clean4-messy-APP-005310,review-clean4-messy-CAND-01355,2026-09-29,2026-09-30,Postponed,Found other offer,False
review-clean4-messy-ONB-000131,review-clean4-messy-OFF-000354,review-clean4-messy-APP-005360,review-clean4-messy-CAND-04835,2026-08-17,,Postponed,,YES
review-clean4-messy-ONB-000132,review-clean4-messy-OFF-000359,review-clean4-messy-APP-005456,review-clean4-messy-CAND-02048,2026-08-30,09/03/2026,Joined,,YES
review-clean4-messy-ONB-000133,review-clean4-messy-OFF-000362,review-clean4-messy-APP-005514,review-clean4-messy-CAND-01396,2026-08-05,2026-08-09,Cancelled,,False
review-clean4-messy-ONB-000134,review-clean4-messy-OFF-000363,review-clean4-messy-APP-005522,review-clean4-messy-CAND-02534,09/02/2026,2026-09-05,Postponed,,False
review-clean4-messy-ONB-000135,review-clean4-messy-OFF-000366,review-clean4-messy-APP-005539,review-clean4-messy-CAND-02008,2026-08-10,2026-08-13,Joined,,YES
review-clean4-messy-ONB-000136,review-clean4-messy-OFF-000368,review-clean4-messy-APP-005545,review-clean4-messy-CAND-00499,08/08/2026,2026-08-12,Joined,Found other offer,YES
review-clean4-messy-ONB-000137,review-clean4-messy-OFF-000370,review-clean4-messy-APP-005586,review-clean4-messy-CAND-03882,2026-08-23,2026-08-24,Cancelled,,True
review-clean4-messy-ONB-000138,review-clean4-messy-OFF-000371,review-clean4-messy-APP-005589,review-clean4-messy-CAND-03867,2026-10-08,2026-10-13,Done,,True
review-clean4-messy-ONB-000139,review-clean4-messy-OFF-000375,review-clean4-messy-APP-005639,review-clean4-messy-CAND-04031,2026-09-05,2026-09-06,Joined,,True
review-clean4-messy-ONB-000140,review-clean4-messy-OFF-000377,review-clean4-messy-APP-005648,review-clean4-messy-CAND-03816,09/22/2026,,No Show,Personal reasons,No
review-clean4-messy-ONB-000141,review-clean4-messy-OFF-000379,review-clean4-messy-APP-005675,review-clean4-messy-CAND-00209,2026-08-02,2026-08-05,Cancelled,,False
review-clean4-messy-ONB-000142,review-clean4-messy-OFF-000387,review-clean4-messy-APP-005757,review-clean4-messy-CAND-02994,08/04/2026,2026-08-04,Joined,Found other offer,True
review-clean4-messy-ONB-000143,review-clean4-messy-OFF-000388,review-clean4-messy-APP-005758,review-clean4-messy-CAND-00209,2026-08-27,2026-08-31,JOINED,,false
review-clean4-messy-ONB-000144,review-clean4-messy-OFF-000391,review-clean4-messy-APP-005779,review-clean4-messy-CAND-02281,2026-08-07,2026-08-10,Postponed,Found other offer,False
review-clean4-messy-ONB-000145,review-clean4-messy-OFF-000392,review-clean4-messy-APP-005831,review-clean4-messy-CAND-00808,09/01/2026,2026-09-03,Cancelled,,True
review-clean4-messy-ONB-000146,review-clean4-messy-OFF-000393,review-clean4-messy-APP-005852,review-clean4-messy-CAND-04095,2026-09-21,2026-09-26,Cancelled,,False
review-clean4-messy-ONB-000147,review-clean4-messy-OFF-000394,review-clean4-messy-APP-005869,review-clean4-messy-CAND-00623,08/13/2026,2026-08-17,Joined,,True
review-clean4-messy-ONB-000148,review-clean4-messy-OFF-000398,review-clean4-messy-APP-005901,review-clean4-messy-CAND-04386,09/05/2026,2026-09-03,No Show,,True
review-clean4-messy-ONB-000149,review-clean4-messy-OFF-000399,review-clean4-messy-APP-005911,review-clean4-messy-CAND-02848,08/03/2026,2026-08-03,No Show,,true
review-clean4-messy-ONB-000150,review-clean4-messy-OFF-000400,review-clean4-messy-APP-005939,review-clean4-messy-CAND-04094,2026-09-11,2026-09-15,No Show, Found other offer ,True
review-clean4-messy-ONB-000151,review-clean4-messy-OFF-000401,review-clean4-messy-APP-005980,review-clean4-messy-CAND-04358,2026-08-22,2026-08-25,Postponed,,True
review-clean4-messy-ONB-000152,review-clean4-messy-OFF-000402,review-clean4-messy-APP-005993,review-clean4-messy-CAND-02516,2026-09-01,2026-09-05,No Show,Found other offer,False
review-clean4-messy-ONB-000153,review-clean4-messy-OFF-000404,review-clean4-messy-APP-006075,review-clean4-messy-CAND-01947,2026-08-03,2026-08-08,Joined,,True
review-clean4-messy-ONB-000154,review-clean4-messy-OFF-000405,review-clean4-messy-APP-006091,review-clean4-messy-CAND-03798,09/17/2026,2026-09-16,Joined,,False
review-clean4-messy-ONB-000155,review-clean4-messy-OFF-000407,review-clean4-messy-APP-006094,review-clean4-messy-CAND-01687,2026-09-29,2026-10-01,Cancelled,,True
review-clean4-messy-ONB-000156,review-clean4-messy-OFF-000413,review-clean4-messy-APP-006229,review-clean4-messy-CAND-03705,2026-10-10,,Joined,Personal reasons,No
review-clean4-messy-ONB-000157,review-clean4-messy-OFF-000414,review-clean4-messy-APP-006238,review-clean4-messy-CAND-01228,2026-08-05,,No hire,,True
review-clean4-messy-ONB-000158,review-clean4-messy-OFF-000420,review-clean4-messy-APP-006278,review-clean4-messy-CAND-03881,09/12/2026,09/13/2026,joined,,False
review-clean4-messy-ONB-000159,review-clean4-messy-OFF-000421,review-clean4-messy-APP-006289,review-clean4-messy-CAND-03466,08/14/2026,,Joined,,false
review-clean4-messy-ONB-000160,review-clean4-messy-OFF-000424,review-clean4-messy-APP-006299,review-clean4-messy-CAND-03736,2026-08-16,,Postponed,,True
review-clean4-messy-ONB-000161,review-clean4-messy-OFF-000430,review-clean4-messy-APP-006351,review-clean4-messy-CAND-04193,2026-08-05,2026-08-10,Joined,,No
review-clean4-messy-ONB-000162,review-clean4-messy-OFF-000431,review-clean4-messy-APP-006366,review-clean4-messy-CAND-01354,2026-08-24,2026-08-22,Cancelled,Personal reasons,true
review-clean4-messy-ONB-000163,review-clean4-messy-OFF-000433,review-clean4-messy-APP-006422,review-clean4-messy-CAND-02814,2026-08-13,,Joined,,YES
review-clean4-messy-ONB-000164,review-clean4-messy-OFF-000434,review-clean4-messy-APP-006461,review-clean4-messy-CAND-02096,2026-07-23,2026-07-27,Cancelled,,False
