interview_id,application_id,candidate_id,interview_type,scheduled_at,completed_at,interview_status,technical_score,communication_score,overall_score,recommendation,feedback
review-clean4-messy-INT-0000020,review-clean4-messy-APP-000010,review-clean4-messy-CAND-03483,Phone Screen,2026-07-29T08:00:00,07/29T10:00:00/2026,Completed,,N/A,1.9,Leaning No,
review-clean4-messy-INT-0000021,review-clean4-messy-APP-000011,review-clean4-messy-CAND-04244,phone screen,2026-08-04T13:00:00,2026-08-04T18:00:00,Completed,2.2,N/A,foo,Maybe, Account over keep go thus before. 
review-clean4-messy-INT-0000022,review-clean4-messy-APP-000011,review-clean4-messy-CAND-04244,Technical,2026-08-05T11:00:00,,Joined,3.5,foo,2.9,Leaning No,International assume from writer account sort expect.
review-clean4-messy-INT-0000023,review-clean4-messy-APP-000011,review-clean4-messy-CAND-04244,Cultural Fit,2026-08-08T12:00:00,2026-08-08T17:00:00,Cancelled,4.9,1.1,3.0,Maybe,Manager court much religious today.
review-clean4-messy-INT-0000024,review-clean4-messy-APP-000012,review-clean4-messy-CAND-04567,Phone Screen,2026-07-16T15:00:00,,No hire,4.4,, 3.8 ,No Hire,Although find player feel foot behavior plant.
review-clean4-messy-INT-0000025,review-clean4-messy-APP-000013,review-clean4-messy-CAND-03740,Phone Screen,2026-06-11T12:00:00,,Completed,3.3,2.0,3.2,Leaning No,Meet station history away.
review-clean4-messy-INT-0000026,review-clean4-messy-APP-000013,review-clean4-messy-CAND-03740,HR Round,2026-06-13T08:00:00,2026-06-13T13:00:00,Cancelled,foo,3.1,1.7,No Hire,Agree current himself pattern.
review-clean4-messy-INT-0000027,review-clean4-messy-APP-000014,review-clean4-messy-CAND-04352,Phone Screen,07/24T15:00:00/2026,,Joined,1.5,5.0,4.7,Hire, See order compare plant. 
review-clean4-messy-INT-0000028,review-clean4-messy-APP-000014,review-clean4-messy-CAND-04352,HR Round,2026-07-27T08:00:00,,Completed,2.8,3.8,,No Hire,
review-clean4-messy-INT-0000029,review-clean4-messy-APP-000015,review-clean4-messy-CAND-02600,Phone Screen,2026-08-11T09:00:00,2026-08-11T11:00:00,Cancelled,3.8,1.2,3.2,Hire,
review-clean4-messy-INT-0000030,review-clean4-messy-APP-000015,review-clean4-messy-CAND-02600,HR Round,2026-08-12T09:00:00,2026-08-12T10:00:00,Rejected,3.4,2.9,,Hire,Outside simple now do Mr behavior.
review-clean4-messy-INT-0000031,review-clean4-messy-APP-000015,review-clean4-messy-CAND-02600,Phone Screen,2026-08-17T16:00:00,2026-08-17T21:00:00,Completed,NaN,,2.2,Strong Hire,
review-clean4-messy-INT-0000032,review-clean4-messy-APP-000015,review-clean4-messy-CAND-02600,Technical,2026-08-14T08:00:00,2026-08-14T12:00:00,Completed, 1.1 ,2.7,4.3,Strong Hire, Behavior assume state site court. 
review-clean4-messy-INT-0000033,review-clean4-messy-APP-000016,review-clean4-messy-CAND-04136,Phone Screen,2026-06-10T09:00:00,,Joined,foo,2.1,NaN,No Hire,Structure soldier situation.
review-clean4-messy-INT-0000034,review-clean4-messy-APP-000017,review-clean4-messy-CAND-03653,Phone Screen,2026-06-06T16:00:00,2026-06-06T22:00:00,Completed,foo,2.8,foo,No Hire,Camera president teach family her.
review-clean4-messy-INT-0000035,review-clean4-messy-APP-000017,review-clean4-messy-CAND-03653,Cultural Fit,2026-06-08T08:00:00,2026-06-08T12:00:00,Cancelled,2.2,,2.9,Hire,Mention could improve cut.
review-clean4-messy-INT-0000036,review-clean4-messy-APP-000017,review-clean4-messy-CAND-03653, Coding Challenge ,06/12T15:00:00/2026,2026-06-12T18:00:00,Cancelled,foo,2.5,4.5,Hire, Purpose much discover draw decade. 
review-clean4-messy-INT-0000037,review-clean4-messy-APP-000018,review-clean4-messy-CAND-03889, Phone Screen ,2026-07-26T17:00:00,2026-07-27T01:00:00,Completed,1.1,1.2,foo,strong hire,Bill whatever money job partner rule.
review-clean4-messy-INT-0000038,review-clean4-messy-APP-000018,review-clean4-messy-CAND-03889,Cultural Fit,07/29T16:00:00/2026,,SCHEDULED,1.7,  ,2.4,Hire,Itself space speech compare eat no himself.
review-clean4-messy-INT-0000039,review-clean4-messy-APP-000018,review-clean4-messy-CAND-03889,Coding Challenge,2026-08-01T15:00:00,2026-08-01T20:00:00,Completed,3.3,4.8,,No Hire,
review-clean4-messy-INT-0000040,review-clean4-messy-APP-000019,review-clean4-messy-CAND-02026,Phone Screen,2026-06-24T12:00:00,2026-06-24T17:00:00,Joined,2.2,,4.0,no hire,War never gas last daughter start against technology.
review-clean4-messy-INT-0000041,review-clean4-messy-APP-000019,review-clean4-messy-CAND-02026,Coding Challenge,2026-06-26T12:00:00,2026-06-26T20:00:00,Cancelled, 1.1 ,1.6,3.8,Leaning No, Wind system plant very. 
review-clean4-messy-INT-0000042,review-clean4-messy-APP-000020,review-clean4-messy-CAND-02272,Final Panel,2026-08-15T14:00:00,2026-08-15T22:00:00,Completed,1.9,1.7,,Leaning No,Writer participant these TV such tend eat interview.
review-clean4-messy-INT-0000043,review-clean4-messy-APP-000020,review-clean4-messy-CAND-02272,Phone Screen,2026-08-18T13:00:00,,SCHEDULED,5.0, 4.6 ,,No Hire,Them instead force follow benefit technology if and.
review-clean4-messy-INT-0000044,review-clean4-messy-APP-000020,review-clean4-messy-CAND-02272,Technical,08/21T11:00:00/2026,08/21T17:00:00/2026,No hire,NaN,,  ,Strong Hire,Buy near cut also option open ever.
review-clean4-messy-INT-0000045,review-clean4-messy-APP-000021,review-clean4-messy-CAND-03970,Phone Screen,2026-06-03T12:00:00,2026-06-03T19:00:00,Completed,3.9,  ,,Hire, Meet lay various worry science particular I. 
review-clean4-messy-INT-0000046,review-clean4-messy-APP-000021,review-clean4-messy-CAND-03970,HR Round,06/05T08:00:00/2026,2026-06-05T12:00:00,Done,,,foo,Hire,
review-clean4-messy-INT-0000047,review-clean4-messy-APP-000022,review-clean4-messy-CAND-02250,Phone Screen,2026-06-06T11:00:00,,Scheduled,,4.4, 4.4 ,Leaning No,
review-clean4-messy-INT-0000048,review-clean4-messy-APP-000022,review-clean4-messy-CAND-02250,Cultural Fit,2026-06-07T12:00:00,,Completed,4.2,2.6,N/A,Hire,Red leader table politics the term.
review-clean4-messy-INT-0000049,review-clean4-messy-APP-000023,review-clean4-messy-CAND-02341,Phone Screen,2026-06-24T14:00:00,,Done,  ,,3.5,No Hire,
review-clean4-messy-INT-0000050,review-clean4-messy-APP-000024,review-clean4-messy-CAND-02752,Phone Screen,2026-08-10T13:00:00,2026-08-10T15:00:00,Completed,,4.0,NaN,No Hire,Sometimes end week respond war.
review-clean4-messy-INT-0000051,review-clean4-messy-APP-000025,review-clean4-messy-CAND-00661,phone screen,2026-08-14T10:00:00,08/14T15:00:00/2026,Completed,2.2,,,Hire,From lose grow it.
review-clean4-messy-INT-0000052,review-clean4-messy-APP-000025,review-clean4-messy-CAND-00661,Final Panel,2026-08-16T16:00:00,2026-08-16T19:00:00,Completed,,,,No Hire,A full myself measure want rather.
review-clean4-messy-INT-0000053,review-clean4-messy-APP-000026,review-clean4-messy-CAND-01895,Phone Screen,06/15T14:00:00/2026,2026-06-15T17:00:00,Completed,,,4.5,Leaning No,Man fall none rich Congress exist.
review-clean4-messy-INT-0000054,review-clean4-messy-APP-000027,review-clean4-messy-CAND-01252,phone screen,2026-08-14T13:00:00,,Scheduled,,, 2.8 ,Hire,Wide happy thought work offer.
review-clean4-messy-INT-0000055,review-clean4-messy-APP-000027,review-clean4-messy-CAND-01252,Phone Screen,2026-08-17T15:00:00,2026-08-17T17:00:00,Completed,2.5,,1.2,Hire,
review-clean4-messy-INT-0000056,review-clean4-messy-APP-000029,review-clean4-messy-CAND-02711, Phone Screen ,07/09T13:00:00/2026,,Rejected,1.8, 4.0 ,2.5,No Hire,
review-clean4-messy-INT-0000057,review-clean4-messy-APP-000029,review-clean4-messy-CAND-02711,Cultural Fit,2026-07-11T09:00:00,2026-07-11T17:00:00,Completed,1.9,2.3,3.7,Hire,Top somebody itself likely reflect.
review-clean4-messy-INT-0000058,review-clean4-messy-APP-000030,review-clean4-messy-CAND-03407,Phone Screen,2026-07-08T17:00:00,2026-07-08T19:00:00,Cancelled,,2.9,3.0,No Hire,Cold former knowledge feel almost candidate argue television.
review-clean4-messy-INT-0000059,review-clean4-messy-APP-000030,review-clean4-messy-CAND-03407,HR Round,2026-07-11T09:00:00,,Scheduled,1.7,3.9,,leaning no, Much the yourself into common. 
review-clean4-messy-INT-0000060,review-clean4-messy-APP-000031,review-clean4-messy-CAND-03442,Final Panel,2026-06-17T10:00:00,,Done,3.5,N/A,,Strong Hire,Themselves feeling yeah author in sense.
review-clean4-messy-INT-0000061,review-clean4-messy-APP-000032,review-clean4-messy-CAND-00161,phone screen,2026-07-17T08:00:00,,Scheduled,4.8,2.4,2.4,Leaning No,
review-clean4-messy-INT-0000062,review-clean4-messy-APP-000032,review-clean4-messy-CAND-00161,Coding Challenge,2026-07-20T12:00:00,2026-07-20T18:00:00,Completed,3.2,2.4,,Hire,Positive of serve imagine nice appear history.
review-clean4-messy-INT-0000063,review-clean4-messy-APP-000033,review-clean4-messy-CAND-03117,phone screen,2026-06-03T09:00:00,2026-06-03T17:00:00,COMPLETED,2.6,,,leaning no, Mention determine result be show sure. 
review-clean4-messy-INT-0000064,review-clean4-messy-APP-000033,review-clean4-messy-CAND-03117,Coding Challenge,06/05T17:00:00/2026,2026-06-05T18:00:00,Cancelled,,1.9,2.3,No Hire,Keep official over base.
review-clean4-messy-INT-0000065,review-clean4-messy-APP-000034,review-clean4-messy-CAND-02882,Phone Screen,2026-08-01T08:00:00,08/01T15:00:00/2026,Cancelled,2.1,, 1.8 ,No Hire,Possible ability family turn teacher challenge than remain.
review-clean4-messy-INT-0000066,review-clean4-messy-APP-000034,review-clean4-messy-CAND-02882, Cultural Fit ,2026-08-02T16:00:00,2026-08-02T20:00:00,Completed,3.3,3.4,4.3,Leaning No,
review-clean4-messy-INT-0000067,review-clean4-messy-APP-000035,review-clean4-messy-CAND-03433,Phone Screen,2026-06-17T10:00:00,2026-06-17T14:00:00,Cancelled,4.2,,,Leaning No,
review-clean4-messy-INT-0000068,review-clean4-messy-APP-000035,review-clean4-messy-CAND-03433, Cultural Fit ,2026-06-19T16:00:00,2026-06-19T18:00:00,CANCELLED,4.4,4.6, 3.6 ,Hire,Section democratic fight example pick.
review-clean4-messy-INT-0000069,review-clean4-messy-APP-000036,review-clean4-messy-CAND-04474,Phone Screen,06/11T13:00:00/2026,2026-06-11T16:00:00,Completed,4.3,3.6,4.9,Hire,Idea sit help school each.
review-clean4-messy-INT-0000070,review-clean4-messy-APP-000037,review-clean4-messy-CAND-01807,Phone Screen,2026-08-26T16:00:00,2026-08-26T18:00:00,Completed,,1.0,4.9,Strong Hire,
review-clean4-messy-INT-0000071,review-clean4-messy-APP-000037,review-clean4-messy-CAND-01807,Cultural Fit,08/29T12:00:00/2026,2026-08-29T13:00:00,Completed,,foo,  ,Strong Hire,Quickly become research sea answer third.
review-clean4-messy-INT-0000072,review-clean4-messy-APP-000038,review-clean4-messy-CAND-02236,Phone Screen,06/13T11:00:00/2026,,Scheduled,3.7,4.8,3.5,,
review-clean4-messy-INT-0000073,review-clean4-messy-APP-000038,review-clean4-messy-CAND-02236,Phone Screen,2026-06-15T17:00:00,,Scheduled,4.7,foo,NaN,No Hire,Though feeling term leave.
review-clean4-messy-INT-0000074,review-clean4-messy-APP-000038,review-clean4-messy-CAND-02236,coding challenge,2026-06-19T12:00:00,,Scheduled,1.9,2.8,3.5,Hire,Community including career each hotel Mrs.
review-clean4-messy-INT-0000075,review-clean4-messy-APP-000039,review-clean4-messy-CAND-00238, Phone Screen ,2026-07-03T11:00:00,,Joined,3.8,,,Leaning No,
review-clean4-messy-INT-0000076,review-clean4-messy-APP-000039,review-clean4-messy-CAND-00238,HR Round,07/06T11:00:00/2026,2026-07-06T16:00:00,Cancelled,3.0,,4.7,No Hire,
review-clean4-messy-INT-0000077,review-clean4-messy-APP-000040,review-clean4-messy-CAND-03313,HR Round,2026-06-21T17:00:00,,Done,2.1,,,Hire,Major many situation whom teach party range practice.
review-clean4-messy-INT-0000078,review-clean4-messy-APP-000041,review-clean4-messy-CAND-03829,Phone Screen,06/11T10:00:00/2026,2026-06-11T17:00:00,COMPLETED,1.3,,N/A,No Hire,
review-clean4-messy-INT-0000079,review-clean4-messy-APP-000042,review-clean4-messy-CAND-04376,Phone Screen,06/09T15:00:00/2026,2026-06-09T21:00:00,Completed,5.0,2.6,2.6,No Hire,
review-clean4-messy-INT-0000080,review-clean4-messy-APP-000043,review-clean4-messy-CAND-04849,Phone Screen,06/16T17:00:00/2026,2026-06-16T22:00:00,Completed,4.0,1.5,3.3,Strong Hire,
review-clean4-messy-INT-0000081,review-clean4-messy-APP-000044,review-clean4-messy-CAND-00223, Phone Screen ,08/20T15:00:00/2026,,Scheduled,2.5,  ,2.5,No Hire,
review-clean4-messy-INT-0000082,review-clean4-messy-APP-000044,review-clean4-messy-CAND-00223,Coding Challenge,2026-08-23T09:00:00,,SCHEDULED,,,  ,No Hire,Stuff require catch government couple.
review-clean4-messy-INT-0000083,review-clean4-messy-APP-000044,review-clean4-messy-CAND-00223,Coding Challenge,08/24T10:00:00/2026,08/24T18:00:00/2026,No hire,4.8,3.5,1.7,Hire,Skin there thank while six live letter.
review-clean4-messy-INT-0000084,review-clean4-messy-APP-000045,review-clean4-messy-CAND-03512,Final Panel,06/21T17:00:00/2026,,Scheduled,3.4,1.6,,No Hire,Little agent the against term instead great.
review-clean4-messy-INT-0000085,review-clean4-messy-APP-000046,review-clean4-messy-CAND-01489,phone screen,2026-07-15T11:00:00,,Done,1.8,2.2,3.7,Hire, Others go fear away senior. 
review-clean4-messy-INT-0000086,review-clean4-messy-APP-000047,review-clean4-messy-CAND-03106,Final Panel,06/05T16:00:00/2026,2026-06-05T18:00:00,Cancelled,4.1,2.6,N/A,Hire,
review-clean4-messy-INT-0000087,review-clean4-messy-APP-000047,review-clean4-messy-CAND-03106,coding challenge,06/08T12:00:00/2026,,Scheduled,4.0,  ,4.1,Strong Hire,
review-clean4-messy-INT-0000088,review-clean4-messy-APP-000048,review-clean4-messy-CAND-03725,Phone Screen,08/12T13:00:00/2026,2026-08-12T15:00:00,Completed, 3.8 ,2.9,,Hire,Prepare debate perform around allow.
review-clean4-messy-INT-0000089,review-clean4-messy-APP-000048,review-clean4-messy-CAND-03725,Final Panel,2026-08-13T13:00:00,2026-08-13T20:00:00,Completed,foo,1.2,2.1,Hire,
review-clean4-messy-INT-0000090,review-clean4-messy-APP-000050,review-clean4-messy-CAND-02067,Phone Screen,06/11T12:00:00/2026,2026-06-11T15:00:00,Offer accepted,2.6,3.1,,Hire,
review-clean4-messy-INT-0000091,review-clean4-messy-APP-000050,review-clean4-messy-CAND-02067,Phone Screen,2026-06-12T09:00:00,2026-06-12T10:00:00,Offer accepted,3.1,4.9,3.0,Leaning No, Number everyone almost. 
review-clean4-messy-INT-0000092,review-clean4-messy-APP-000050,review-clean4-messy-CAND-02067,Final Panel,06/13T11:00:00/2026,,Joined,2.3,NaN,foo,Hire,Head ground media drug fact enjoy.
review-clean4-messy-INT-0000093,review-clean4-messy-APP-000052,review-clean4-messy-CAND-04419, Phone Screen ,07/26T08:00:00/2026,2026-07-26T13:00:00,Cancelled,,,1.6,No Hire,Moment when four price half.
review-clean4-messy-INT-0000094,review-clean4-messy-APP-000053,review-clean4-messy-CAND-01837,HR Round,2026-08-16T14:00:00,2026-08-16T20:00:00,Completed,4.6,1.7,4.6,Leaning No,
review-clean4-messy-INT-0000095,review-clean4-messy-APP-000053,review-clean4-messy-CAND-01837,HR Round,2026-08-17T17:00:00,08/17T23:00:00/2026,Completed,,N/A,3.1,No Hire,West trial ten candidate in worker.
review-clean4-messy-INT-0000096,review-clean4-messy-APP-000054,review-clean4-messy-CAND-00330,Phone Screen,2026-08-17T17:00:00,,Completed,N/A,,3.9,Leaning No,Raise trip several technology already letter talk number.
review-clean4-messy-INT-0000097,review-clean4-messy-APP-000054,review-clean4-messy-CAND-00330,phone screen,2026-08-18T09:00:00,2026-08-18T14:00:00,Done,,foo,1.5,Hire,Audience save spring once.
review-clean4-messy-INT-0000098,review-clean4-messy-APP-000055,review-clean4-messy-CAND-02026,phone screen,06/29T13:00:00/2026,2026-06-29T20:00:00,Rejected,4.0,N/A,1.5,leaning no,Station back outside she maybe option.
review-clean4-messy-INT-0000099,review-clean4-messy-APP-000055,review-clean4-messy-CAND-02026,Final Panel,2026-07-01T10:00:00,2026-07-01T12:00:00,Completed,,, 3.4 ,Leaning No,Street year beautiful big thought maybe.
review-clean4-messy-INT-0000100,review-clean4-messy-APP-000056,review-clean4-messy-CAND-01249,Phone Screen,05/26T09:00:00/2026,,Scheduled,3.3,,NaN,Leaning No,
review-clean4-messy-INT-0000101,review-clean4-messy-APP-000057,review-clean4-messy-CAND-03880,Final Panel,2026-07-19T09:00:00,2026-07-19T14:00:00,Completed,4.8,2.8,2.2,Hire,
review-clean4-messy-INT-0000102,review-clean4-messy-APP-000057,review-clean4-messy-CAND-03880,Technical,07/22T09:00:00/2026,2026-07-22T17:00:00,COMPLETED,4.6,4.3,3.3,Strong Hire,Poor possible memory protect exactly left on.
review-clean4-messy-INT-0000103,review-clean4-messy-APP-000058,review-clean4-messy-CAND-04621,phone screen,2026-06-09T17:00:00,2026-06-09T19:00:00,Cancelled,,2.8,2.9,Strong Hire,Provide teach street natural chair pass.
review-clean4-messy-INT-0000104,review-clean4-messy-APP-000058,review-clean4-messy-CAND-04621,Technical,2026-06-11T09:00:00,06/11T17:00:00/2026,Completed,N/A,, 1.1 ,Strong Hire,
review-clean4-messy-INT-0000105,review-clean4-messy-APP-000059,review-clean4-messy-CAND-03810, Phone Screen ,2026-07-05T15:00:00,2026-07-05T17:00:00,Cancelled,,4.6,,Hire,
review-clean4-messy-INT-0000106,review-clean4-messy-APP-000059,review-clean4-messy-CAND-03810, Coding Challenge ,2026-07-07T14:00:00,07/07T21:00:00/2026,Joined,  ,,2.6,Hire,
review-clean4-messy-INT-0000107,review-clean4-messy-APP-000059,review-clean4-messy-CAND-03810,Coding Challenge,07/07T11:00:00/2026,,Offer accepted,  ,1.7,foo,No Hire,Talk firm study quite perhaps.
review-clean4-messy-INT-0000108,review-clean4-messy-APP-000060,review-clean4-messy-CAND-03022, Phone Screen ,06/12T13:00:00/2026,2026-06-12T21:00:00,Completed,  ,4.5,2.2,Strong Hire, Company choose effect great describe because. 
review-clean4-messy-INT-0000109,review-clean4-messy-APP-000060,review-clean4-messy-CAND-03022,Phone Screen,2026-06-15T08:00:00,2026-06-15T14:00:00,Completed,3.1,,3.7,Hire,Heavy final film test degree opportunity.
review-clean4-messy-INT-0000110,review-clean4-messy-APP-000060,review-clean4-messy-CAND-03022,Technical,06/14T09:00:00/2026,2026-06-14T14:00:00,COMPLETED,4.6,4.2,3.1,leaning no,
review-clean4-messy-INT-0000111,review-clean4-messy-APP-000062,review-clean4-messy-CAND-00939,phone screen,2026-07-17T17:00:00,07/18T01:00:00/2026,Cancelled,4.4,2.7,2.7,,
review-clean4-messy-INT-0000112,review-clean4-messy-APP-000062,review-clean4-messy-CAND-00939,coding challenge,07/18T15:00:00/2026,2026-07-18T22:00:00,Completed,,N/A,N/A,Leaning No,Education run matter cold.
review-clean4-messy-INT-0000113,review-clean4-messy-APP-000063,review-clean4-messy-CAND-02549,Phone Screen,2026-08-06T13:00:00,,Scheduled,foo,NaN,1.5,Strong Hire, Federal few campaign could paper example admit. 
review-clean4-messy-INT-0000114,review-clean4-messy-APP-000064,review-clean4-messy-CAND-00211,phone screen,07/09T10:00:00/2026,,Scheduled, 1.8 ,  ,N/A,Hire,
review-clean4-messy-INT-0000115,review-clean4-messy-APP-000065,review-clean4-messy-CAND-04717,HR Round,2026-08-04T16:00:00,,Scheduled,2.7,4.6,,Hire,Trouble difficult mean population.
review-clean4-messy-INT-0000116,review-clean4-messy-APP-000065,review-clean4-messy-CAND-04717,Phone Screen,2026-08-05T13:00:00,,Scheduled,4.3,2.7,foo,No Hire, Yeah Mr security record teacher including. 
review-clean4-messy-INT-0000117,review-clean4-messy-APP-000065,review-clean4-messy-CAND-04717,Final Panel,2026-08-10T08:00:00,,Scheduled,4.6,NaN,3.7,Hire,
review-clean4-messy-INT-0000118,review-clean4-messy-APP-000066,review-clean4-messy-CAND-03250,Phone Screen,06/23T17:00:00/2026,,SCHEDULED,3.4,NaN,,Hire,Look believe bed data hand measure could.
review-clean4-messy-INT-0000119,review-clean4-messy-APP-000066,review-clean4-messy-CAND-03250,Technical,2026-06-26T14:00:00,,Done,3.0,NaN,4.0,No Hire,
review-clean4-messy-INT-0000120,review-clean4-messy-APP-000067,review-clean4-messy-CAND-01625,Phone Screen,08/23T17:00:00/2026,08/23T21:00:00/2026,Completed,1.6,NaN,2.8,, Significant movement bad decide perform money. 
review-clean4-messy-INT-0000121,review-clean4-messy-APP-000068,review-clean4-messy-CAND-01990,Final Panel,2026-07-12T12:00:00,2026-07-12T19:00:00,Cancelled,4.5,NaN,4.3,Leaning No, Half cold budget nearly foreign theory southern. 
review-clean4-messy-INT-0000122,review-clean4-messy-APP-000068,review-clean4-messy-CAND-01990,Coding Challenge,07/13T12:00:00/2026,2026-07-13T15:00:00,Completed,2.7,2.1,foo,Strong Hire,Speak mission relationship quality.
review-clean4-messy-INT-0000123,review-clean4-messy-APP-000069,review-clean4-messy-CAND-02471,HR Round,08/06T17:00:00/2026,2026-08-06T18:00:00,Completed,4.7,,2.5,,True wife network heart.
review-clean4-messy-INT-0000124,review-clean4-messy-APP-000070,review-clean4-messy-CAND-04919,Final Panel,2026-06-30T09:00:00,,Rejected,,,4.2,No Hire,Space style win book leave serious.
review-clean4-messy-INT-0000125,review-clean4-messy-APP-000070,review-clean4-messy-CAND-04919,Technical,07/02T12:00:00/2026,2026-07-02T14:00:00,Completed,1.5,N/A,2.2,Hire,Democrat day take onto.
review-clean4-messy-INT-0000126,review-clean4-messy-APP-000071,review-clean4-messy-CAND-04637,Phone Screen,08/19T10:00:00/2026,,Cancelled,1.8,4.1,4.8,Leaning No,Mouth west begin through she.
review-clean4-messy-INT-0000127,review-clean4-messy-APP-000071,review-clean4-messy-CAND-04637,Phone Screen,2026-08-21T17:00:00,08/21T18:00:00/2026,Completed,,4.6,4.7,Hire,Yeah whether assume election.
review-clean4-messy-INT-0000128,review-clean4-messy-APP-000071,review-clean4-messy-CAND-04637,Technical,2026-08-25T12:00:00,,Joined,3.5,N/A,4.4,Strong Hire,
review-clean4-messy-INT-0000129,review-clean4-messy-APP-000072,review-clean4-messy-CAND-02845,Phone Screen,07/10T08:00:00/2026,07/10T09:00:00/2026,COMPLETED,,3.5,1.1,hire, Then off season drug several appear onto type. 
review-clean4-messy-INT-0000130,review-clean4-messy-APP-000073,review-clean4-messy-CAND-03036,Phone Screen,07/30T14:00:00/2026,2026-07-30T19:00:00,COMPLETED,,4.1,NaN,Hire,
review-clean4-messy-INT-0000131,review-clean4-messy-APP-000073,review-clean4-messy-CAND-03036,Final Panel,2026-08-02T11:00:00,2026-08-02T17:00:00,Completed,3.9,2.2,N/A,No Hire,As fire line cover.
review-clean4-messy-INT-0000132,review-clean4-messy-APP-000074,review-clean4-messy-CAND-02796,Phone Screen,2026-06-21T12:00:00,2026-06-21T19:00:00,Cancelled,3.2,foo,,Leaning No,Wrong fast husband cultural.
review-clean4-messy-INT-0000133,review-clean4-messy-APP-000074,review-clean4-messy-CAND-02796,Cultural Fit,06/24T08:00:00/2026,,Scheduled,,,2.1,Strong Hire,Forward political gun support.
