stage_event_id,application_id,stage_name,entered_at,exited_at,stage_outcome,dropoff_flag,dropoff_reason
EVT-000057,APP-0013,Recruiter Screen,2026-06-22T03:00:00,2026-06-26T03:00:00,Passed,False,
EVT-000058,APP-0013,Hiring Manager Review,2026-06-27T21:00:00,2026-07-03T21:00:00,Passed,False,
EVT-000059,APP-0013,Technical Interview,2026-07-05T02:00:00,2026-07-07T02:00:00,Passed,False,
EVT-000060,APP-0013,Final Interview,2026-07-07T09:00:00,2026-07-10T09:00:00,Passed,False,
EVT-000061,APP-0013,Offer,2026-07-10T17:00:00,2026-07-14T17:00:00,Passed,False,
EVT-000062,APP-0014,Applied,2026-07-15T00:00:00,2026-07-18T00:00:00,Passed,False,
EVT-000063,APP-0014,Screening,2026-07-18T08:00:00,2026-07-25T08:00:00,Passed,False,
EVT-000064,APP-0014,Recruiter Screen,2026-07-25T11:00:00,2026-07-28T11:00:00,Passed,False,
EVT-000065,APP-0014,Hiring Manager Review,2026-07-29T07:00:00,2026-08-01T07:00:00,Passed,False,
EVT-000066,APP-0014,Technical Interview,2026-08-02T08:00:00,2026-08-06T08:00:00,Passed,False,
EVT-000067,APP-0014,Final Interview,2026-08-07T05:00:00,2026-08-09T05:00:00,Failed,True,Salary
EVT-000068,APP-0015,Applied,2026-08-01T00:00:00,2026-08-06T00:00:00,Passed,False,
EVT-000069,APP-0015,Screening,2026-08-07T10:00:00,2026-08-11T10:00:00,Passed,False,
EVT-000070,APP-0015,Recruiter Screen,2026-08-12T10:00:00,2026-08-18T10:00:00,Passed,False,
EVT-000071,APP-0015,Hiring Manager Review,2026-08-19T00:00:00,2026-08-26T00:00:00,Passed,False,
EVT-000072,APP-0015,Technical Interview,2026-08-26T07:00:00,2026-08-28T07:00:00,Passed,False,
EVT-000073,APP-0015,Final Interview,2026-08-29T20:00:00,2026-08-31T20:00:00,Passed,False,
EVT-000074,APP-0015,Offer,2026-09-01T09:00:00,2026-09-05T09:00:00,Passed,False,
EVT-000075,APP-0015,Offer Accepted,2026-09-06T21:00:00,2026-09-11T21:00:00,Passed,False,
EVT-000076,APP-0016,Applied,2026-06-03T00:00:00,2026-06-08T00:00:00,Passed,False,
EVT-000077,APP-0016,Screening,2026-06-08T13:00:00,2026-06-15T13:00:00,Passed,False,
EVT-000078,APP-0016,Recruiter Screen,2026-06-16T01:00:00,2026-06-23T01:00:00,Passed,False,
EVT-000079,APP-0016,Hiring Manager Review,2026-06-24T08:00:00,2026-06-26T08:00:00,Passed,False,
EVT-000080,APP-0017,Applied,2026-06-02T00:00:00,2026-06-08T00:00:00,Passed,False,
EVT-000081,APP-0017,Screening,2026-06-08T10:00:00,2026-06-13T10:00:00,Passed,False,
EVT-000082,APP-0017,Recruiter Screen,2026-06-14T06:00:00,2026-06-17T06:00:00,Passed,False,
EVT-000083,APP-0017,Hiring Manager Review,2026-06-17T14:00:00,2026-06-24T14:00:00,Passed,False,
EVT-000084,APP-0017,Technical Interview,2026-06-24T15:00:00,2026-06-29T15:00:00,Passed,False,
EVT-000085,APP-0018,Applied,2026-07-24T00:00:00,2026-07-30T00:00:00,Passed,False,
EVT-000086,APP-0018,Screening,2026-07-31T12:00:00,2026-08-02T12:00:00,Passed,False,
EVT-000087,APP-0018,Recruiter Screen,2026-08-03T20:00:00,2026-08-06T20:00:00,Passed,False,
EVT-000088,APP-0018,Hiring Manager Review,2026-08-08T00:00:00,2026-08-13T00:00:00,Passed,False,
EVT-000089,APP-0018,Technical Interview,2026-08-15T00:00:00,2026-08-22T00:00:00,Passed,False,
EVT-000090,APP-0018,Final Interview,2026-08-23T17:00:00,2026-08-27T17:00:00,Passed,False,
EVT-000091,APP-0019,Applied,2026-06-22T00:00:00,2026-06-28T00:00:00,Passed,False,
EVT-000092,APP-0019,Screening,2026-06-28T21:00:00,2026-07-04T21:00:00,Passed,False,
EVT-000093,APP-0019,Recruiter Screen,2026-07-06T19:00:00,2026-07-12T19:00:00,Passed,False,
EVT-000094,APP-0019,Hiring Manager Review,2026-07-12T20:00:00,2026-07-15T20:00:00,Failed,True,Tech Mismatch
EVT-000095,APP-0020,Applied,2026-08-05T00:00:00,2026-08-12T00:00:00,Passed,False,
EVT-000096,APP-0020,Screening,2026-08-13T17:00:00,2026-08-17T17:00:00,Passed,False,
EVT-000097,APP-0020,Recruiter Screen,2026-08-18T08:00:00,2026-08-25T08:00:00,Passed,False,
EVT-000098,APP-0020,Hiring Manager Review,2026-08-27T03:00:00,2026-09-03T03:00:00,Passed,False,
EVT-000099,APP-0020,Technical Interview,2026-09-03T19:00:00,2026-09-07T19:00:00,Passed,False,
EVT-000100,APP-0020,Final Interview,2026-09-08T22:00:00,2026-09-13T22:00:00,Passed,False,
EVT-000101,APP-0021,Applied,2026-05-26T00:00:00,2026-05-29T00:00:00,Passed,False,
EVT-000102,APP-0021,Screening,2026-05-29T05:00:00,2026-05-31T05:00:00,Passed,False,
EVT-000103,APP-0021,Recruiter Screen,2026-05-31T13:00:00,2026-06-06T13:00:00,Passed,False,
EVT-000104,APP-0021,Hiring Manager Review,2026-06-07T20:00:00,2026-06-09T20:00:00,Passed,False,
EVT-000105,APP-0021,Technical Interview,2026-06-11T16:00:00,2026-06-13T16:00:00,Passed,False,
EVT-000106,APP-0021,Final Interview,2026-06-13T17:00:00,2026-06-15T17:00:00,Passed,False,
EVT-000107,APP-0022,Applied,2026-05-29T00:00:00,2026-05-31T00:00:00,Passed,False,
EVT-000108,APP-0022,Screening,2026-05-31T23:00:00,2026-06-02T23:00:00,Passed,False,
EVT-000109,APP-0023,Applied,2026-06-20T00:00:00,2026-06-23T00:00:00,Passed,False,
EVT-000110,APP-0023,Screening,2026-06-24T13:00:00,2026-07-01T13:00:00,Passed,False,
EVT-000111,APP-0023,Recruiter Screen,2026-07-02T12:00:00,2026-07-07T12:00:00,Passed,False,
EVT-000112,APP-0023,Hiring Manager Review,2026-07-07T16:00:00,2026-07-12T16:00:00,Passed,False,
EVT-000113,APP-0024,Applied,2026-08-05T00:00:00,2026-08-10T00:00:00,Passed,False,
EVT-000114,APP-0024,Screening,2026-08-10T05:00:00,2026-08-15T05:00:00,Passed,False,
EVT-000115,APP-0024,Recruiter Screen,2026-08-15T13:00:00,2026-08-16T13:00:00,Failed,True,Tech Mismatch
EVT-000116,APP-0025,Applied,2026-08-03T00:00:00,2026-08-09T00:00:00,Passed,False,
EVT-000117,APP-0025,Screening,2026-08-09T12:00:00,2026-08-13T12:00:00,Passed,False,
EVT-000118,APP-0025,Recruiter Screen,2026-08-14T18:00:00,2026-08-18T18:00:00,Passed,False,
EVT-000119,APP-0025,Hiring Manager Review,2026-08-20T07:00:00,2026-08-21T07:00:00,Failed,True,Tech Mismatch
EVT-000120,APP-0026,Applied,2026-06-03T00:00:00,2026-06-05T00:00:00,Passed,False,
EVT-000121,APP-0026,Screening,2026-06-06T02:00:00,2026-06-07T02:00:00,Passed,False,
EVT-000122,APP-0027,Applied,2026-08-06T00:00:00,2026-08-12T00:00:00,Passed,False,
EVT-000123,APP-0027,Screening,2026-08-13T17:00:00,2026-08-20T17:00:00,Passed,False,
EVT-000124,APP-0027,Recruiter Screen,2026-08-22T02:00:00,2026-08-26T02:00:00,Passed,False,
EVT-000125,APP-0027,Hiring Manager Review,2026-08-27T08:00:00,2026-08-28T08:00:00,Failed,True,Salary
EVT-000126,APP-0028,Applied,2026-06-23T00:00:00,2026-06-26T00:00:00,Passed,False,
EVT-000127,APP-0028,Screening,2026-06-26T08:00:00,2026-07-01T08:00:00,Passed,False,
EVT-000128,APP-0028,Recruiter Screen,2026-07-01T10:00:00,2026-07-04T10:00:00,Passed,False,
EVT-000129,APP-0028,Hiring Manager Review,2026-07-05T09:00:00,2026-07-07T09:00:00,Passed,False,
EVT-000130,APP-0028,Technical Interview,2026-07-07T19:00:00,2026-07-14T19:00:00,Passed,False,
EVT-000131,APP-0028,Final Interview,2026-07-15T15:00:00,2026-07-19T15:00:00,Passed,False,
EVT-000132,APP-0028,Offer,2026-07-19T16:00:00,2026-07-24T16:00:00,Passed,False,
EVT-000133,APP-0028,Offer Accepted,2026-07-25T05:00:00,2026-07-29T05:00:00,Passed,False,
EVT-000134,APP-0029,Applied,2026-07-04T00:00:00,2026-07-11T00:00:00,Passed,False,
EVT-000135,APP-0029,Screening,2026-07-12T20:00:00,2026-07-16T20:00:00,Passed,False,
EVT-000136,APP-0029,Recruiter Screen,2026-07-17T06:00:00,2026-07-21T06:00:00,Passed,False,
EVT-000137,APP-0029,Hiring Manager Review,2026-07-21T12:00:00,2026-07-28T12:00:00,Passed,False,
EVT-000138,APP-0029,Technical Interview,2026-07-29T16:00:00,2026-08-04T16:00:00,Passed,False,
EVT-000139,APP-0029,Final Interview,2026-08-05T09:00:00,2026-08-12T09:00:00,Passed,False,
EVT-000140,APP-0029,Offer,2026-08-14T09:00:00,2026-08-17T09:00:00,Passed,False,
EVT-000141,APP-0030,Applied,2026-06-28T00:00:00,2026-07-03T00:00:00,Passed,False,
EVT-000142,APP-0030,Screening,2026-07-04T06:00:00,2026-07-09T06:00:00,Passed,False,
EVT-000143,APP-0030,Recruiter Screen,2026-07-10T23:00:00,2026-07-17T23:00:00,Passed,False,
EVT-000144,APP-0030,Hiring Manager Review,2026-07-19T22:00:00,2026-07-21T22:00:00,Failed,True,Tech Mismatch
EVT-000145,APP-0031,Applied,2026-06-06T00:00:00,2026-06-12T00:00:00,Passed,False,
EVT-000146,APP-0031,Screening,2026-06-12T20:00:00,2026-06-13T20:00:00,Passed,False,
EVT-000147,APP-0032,Applied,2026-07-04T00:00:00,2026-07-06T00:00:00,Passed,False,
EVT-000148,APP-0032,Screening,2026-07-06T14:00:00,2026-07-11T14:00:00,Passed,False,
EVT-000149,APP-0032,Recruiter Screen,2026-07-12T07:00:00,2026-07-15T07:00:00,Passed,False,
EVT-000150,APP-0032,Hiring Manager Review,2026-07-16T12:00:00,2026-07-22T12:00:00,Passed,False,
EVT-000151,APP-0032,Technical Interview,2026-07-23T06:00:00,2026-07-28T06:00:00,Passed,False,
EVT-000152,APP-0032,Final Interview,2026-07-30T05:00:00,2026-08-03T05:00:00,Passed,False,
EVT-000153,APP-0033,Applied,2026-05-21T00:00:00,2026-05-24T00:00:00,Passed,False,
EVT-000154,APP-0033,Screening,2026-05-24T13:00:00,2026-05-27T13:00:00,Passed,False,
EVT-000155,APP-0033,Recruiter Screen,2026-05-27T23:00:00,2026-05-31T23:00:00,Passed,False,
EVT-000156,APP-0033,Hiring Manager Review,2026-06-02T22:00:00,2026-06-05T22:00:00,Withdrew,True,Salary
EVT-000157,APP-0034,Applied,2026-07-23T00:00:00,2026-07-26T00:00:00,Passed,False,
EVT-000158,APP-0034,Screening,2026-07-27T18:00:00,2026-08-03T18:00:00,Passed,False,
EVT-000159,APP-0034,Recruiter Screen,2026-08-04T04:00:00,2026-08-07T04:00:00,Passed,False,
EVT-000160,APP-0034,Hiring Manager Review,2026-08-09T03:00:00,2026-08-12T03:00:00,Passed,False,
EVT-000161,APP-0035,Applied,2026-06-04T00:00:00,2026-06-08T00:00:00,Passed,False,
EVT-000162,APP-0035,Screening,2026-06-08T08:00:00,2026-06-12T08:00:00,Passed,False,
EVT-000163,APP-0036,Applied,2026-06-09T00:00:00,2026-06-14T00:00:00,Passed,False,
EVT-000164,APP-0036,Screening,2026-06-15T04:00:00,2026-06-17T04:00:00,Passed,False,
EVT-000165,APP-0036,Recruiter Screen,2026-06-17T07:00:00,2026-06-24T07:00:00,Passed,False,
EVT-000166,APP-0036,Hiring Manager Review,2026-06-26T01:00:00,2026-06-27T01:00:00,Passed,False,
EVT-000167,APP-0037,Applied,2026-08-14T00:00:00,2026-08-16T00:00:00,Passed,False,
EVT-000168,APP-0037,Screening,2026-08-17T10:00:00,2026-08-22T10:00:00,Passed,False,
EVT-000169,APP-0037,Recruiter Screen,2026-08-22T21:00:00,2026-08-29T21:00:00,Passed,False,
EVT-000170,APP-0037,Hiring Manager Review,2026-08-31T20:00:00,2026-09-04T20:00:00,Passed,False,
EVT-000171,APP-0037,Technical Interview,2026-09-06T04:00:00,2026-09-07T04:00:00,Failed,True,Salary
EVT-000172,APP-0038,Applied,2026-06-06T00:00:00,2026-06-10T00:00:00,Passed,False,
EVT-000173,APP-0038,Screening,2026-06-11T09:00:00,2026-06-18T09:00:00,Passed,False,
EVT-000174,APP-0038,Recruiter Screen,2026-06-19T22:00:00,2026-06-21T22:00:00,Passed,False,
EVT-000175,APP-0038,Hiring Manager Review,2026-06-22T17:00:00,2026-06-24T17:00:00,Passed,False,
EVT-000176,APP-0038,Technical Interview,2026-06-25T02:00:00,2026-06-30T02:00:00,Passed,False,
EVT-000177,APP-0038,Final Interview,2026-07-01T16:00:00,2026-07-08T16:00:00,Passed,False,
EVT-000178,APP-0038,Offer,2026-07-10T12:00:00,2026-07-15T12:00:00,Passed,False,
EVT-000179,APP-0038,Offer Accepted,2026-07-16T03:00:00,2026-07-19T03:00:00,Passed,False,
EVT-000180,APP-0039,Applied,2026-06-19T00:00:00,2026-06-23T00:00:00,Passed,False,
EVT-000181,APP-0039,Screening,2026-06-24T20:00:00,2026-06-30T20:00:00,Passed,False,
EVT-000182,APP-0039,Recruiter Screen,2026-07-01T00:00:00,2026-07-08T00:00:00,Passed,False,
EVT-000183,APP-0039,Hiring Manager Review,2026-07-08T02:00:00,2026-07-11T02:00:00,Passed,False,
EVT-000184,APP-0040,Applied,2026-06-19T00:00:00,2026-06-24T00:00:00,Passed,False,
EVT-000185,APP-0040,Screening,2026-06-24T22:00:00,2026-06-26T22:00:00,Passed,False,
EVT-000186,APP-0040,Recruiter Screen,2026-06-28T19:00:00,2026-07-01T19:00:00,Passed,False,
EVT-000187,APP-0040,Hiring Manager Review,2026-07-02T03:00:00,2026-07-08T03:00:00,Passed,False,
EVT-000188,APP-0040,Technical Interview,2026-07-08T18:00:00,2026-07-15T18:00:00,Passed,False,
EVT-000189,APP-0040,Final Interview,2026-07-17T17:00:00,2026-07-19T17:00:00,Passed,False,
EVT-000190,APP-0041,Applied,2026-05-28T00:00:00,2026-05-30T00:00:00,Failed,True,Withdrew
EVT-000191,APP-0042,Applied,2026-06-07T00:00:00,2026-06-14T00:00:00,Passed,False,
EVT-000192,APP-0042,Screening,2026-06-14T21:00:00,2026-06-16T21:00:00,Passed,False,
EVT-000193,APP-0042,Recruiter Screen,2026-06-17T04:00:00,2026-06-24T04:00:00,Passed,False,
EVT-000194,APP-0042,Hiring Manager Review,2026-06-24T17:00:00,2026-06-25T17:00:00,Failed,True,Salary
EVT-000195,APP-0043,Applied,2026-06-12T00:00:00,2026-06-19T00:00:00,Passed,False,
EVT-000196,APP-0043,Screening,2026-06-19T20:00:00,2026-06-21T20:00:00,Passed,False,
EVT-000197,APP-0043,Recruiter Screen,2026-06-23T08:00:00,2026-06-27T08:00:00,Passed,False,
EVT-000198,APP-0043,Hiring Manager Review,2026-06-27T20:00:00,2026-06-28T20:00:00,Failed,True,No Response
EVT-000199,APP-0044,Applied,2026-08-12T00:00:00,2026-08-16T00:00:00,Passed,False,
EVT-000200,APP-0044,Screening,2026-08-17T06:00:00,2026-08-19T06:00:00,Passed,False,
EVT-000201,APP-0044,Recruiter Screen,2026-08-19T11:00:00,2026-08-23T11:00:00,Passed,False,
EVT-000202,APP-0045,Applied,2026-06-09T00:00:00,2026-06-14T00:00:00,Passed,False,
EVT-000203,APP-0045,Screening,2026-06-15T19:00:00,2026-06-17T19:00:00,Passed,False,
EVT-000204,APP-0045,Recruiter Screen,2026-06-18T00:00:00,2026-06-21T00:00:00,Passed,False,
EVT-000205,APP-0046,Applied,2026-07-02T00:00:00,2026-07-06T00:00:00,Passed,False,
EVT-000206,APP-0046,Screening,2026-07-06T19:00:00,2026-07-13T19:00:00,Passed,False,
EVT-000207,APP-0046,Recruiter Screen,2026-07-15T08:00:00,2026-07-20T08:00:00,Passed,False,
EVT-000208,APP-0046,Hiring Manager Review,2026-07-20T14:00:00,2026-07-25T14:00:00,Passed,False,
EVT-000209,APP-0047,Applied,2026-05-29T00:00:00,2026-05-31T00:00:00,Passed,False,
EVT-000210,APP-0047,Screening,2026-06-01T11:00:00,2026-06-05T11:00:00,Passed,False,
EVT-000211,APP-0048,Applied,2026-07-30T00:00:00,2026-08-04T00:00:00,Passed,False,
EVT-000212,APP-0048,Screening,2026-08-05T06:00:00,2026-08-09T06:00:00,Passed,False,
EVT-000213,APP-0048,Recruiter Screen,2026-08-10T09:00:00,2026-08-17T09:00:00,Passed,False,
EVT-000214,APP-0048,Hiring Manager Review,2026-08-19T00:00:00,2026-08-25T00:00:00,Passed,False,
EVT-000215,APP-0048,Technical Interview,2026-08-26T22:00:00,2026-08-27T22:00:00,Failed,True,No Response
EVT-000216,APP-0049,Applied,2026-06-13T00:00:00,2026-06-17T00:00:00,Passed,False,
EVT-000217,APP-0050,Applied,2026-06-04T00:00:00,2026-06-06T00:00:00,Passed,False,
EVT-000218,APP-0050,Screening,2026-06-07T16:00:00,2026-06-11T16:00:00,Passed,False,
EVT-000219,APP-0050,Recruiter Screen,2026-06-12T17:00:00,2026-06-17T17:00:00,Passed,False,
EVT-000220,APP-0050,Hiring Manager Review,2026-06-18T00:00:00,2026-06-20T00:00:00,Passed,False,
EVT-000221,APP-0050,Technical Interview,2026-06-22T00:00:00,2026-06-28T00:00:00,Passed,False,
EVT-000222,APP-0050,Final Interview,2026-06-28T12:00:00,2026-06-30T12:00:00,Passed,False,
EVT-000223,APP-0051,Applied,2026-07-26T00:00:00,2026-07-31T00:00:00,Passed,False,
EVT-000224,APP-0051,Screening,2026-07-31T21:00:00,2026-08-06T21:00:00,Passed,False,
EVT-000225,APP-0051,Recruiter Screen,2026-08-08T01:00:00,2026-08-12T01:00:00,Passed,False,
EVT-000226,APP-0051,Hiring Manager Review,2026-08-12T16:00:00,2026-08-16T16:00:00,Passed,False,
EVT-000227,APP-0051,Technical Interview,2026-08-18T04:00:00,2026-08-19T04:00:00,Failed,True,No Response
EVT-000228,APP-0052,Applied,2026-07-13T00:00:00,2026-07-16T00:00:00,Passed,False,
EVT-000229,APP-0052,Screening,2026-07-17T21:00:00,2026-07-22T21:00:00,Passed,False,
EVT-000230,APP-0052,Recruiter Screen,2026-07-23T10:00:00,2026-07-26T10:00:00,Passed,False,
EVT-000231,APP-0053,Applied,2026-08-11T00:00:00,2026-08-14T00:00:00,Passed,False,
EVT-000232,APP-0053,Screening,2026-08-15T09:00:00,2026-08-22T09:00:00,Passed,False,
EVT-000233,APP-0053,Recruiter Screen,2026-08-23T23:00:00,2026-08-28T23:00:00,Passed,False,
EVT-000234,APP-0053,Hiring Manager Review,2026-08-30T13:00:00,2026-09-01T13:00:00,Passed,False,
EVT-000235,APP-0053,Technical Interview,2026-09-02T23:00:00,2026-09-09T23:00:00,Passed,False,
EVT-000236,APP-0053,Final Interview,2026-09-11T01:00:00,2026-09-15T01:00:00,Passed,False,
EVT-000237,APP-0054,Applied,2026-08-04T00:00:00,2026-08-10T00:00:00,Passed,False,
EVT-000238,APP-0054,Screening,2026-08-11T04:00:00,2026-08-14T04:00:00,Passed,False,
EVT-000239,APP-0054,Recruiter Screen,2026-08-14T21:00:00,2026-08-18T21:00:00,Passed,False,
EVT-000240,APP-0054,Hiring Manager Review,2026-08-20T16:00:00,2026-08-24T16:00:00,Passed,False,
EVT-000241,APP-0054,Technical Interview,2026-08-26T06:00:00,2026-08-28T06:00:00,Withdrew,True,Salary
EVT-000242,APP-0055,Applied,2026-06-26T00:00:00,2026-06-29T00:00:00,Failed,True,Salary
EVT-000243,APP-0056,Applied,2026-05-21T00:00:00,2026-05-27T00:00:00,Passed,False,
EVT-000244,APP-0056,Screening,2026-05-27T16:00:00,2026-05-29T16:00:00,Passed,False,
EVT-000245,APP-0056,Recruiter Screen,2026-05-29T17:00:00,2026-06-01T17:00:00,Passed,False,
EVT-000246,APP-0056,Hiring Manager Review,2026-06-02T16:00:00,2026-06-08T16:00:00,Passed,False,
EVT-000247,APP-0056,Technical Interview,2026-06-08T20:00:00,2026-06-15T20:00:00,Passed,False,
EVT-000248,APP-0056,Final Interview,2026-06-17T17:00:00,2026-06-19T17:00:00,Failed,True,Withdrew
EVT-000249,APP-0057,Applied,2026-07-06T00:00:00,2026-07-09T00:00:00,Passed,False,
EVT-000250,APP-0057,Screening,2026-07-09T17:00:00,2026-07-16T17:00:00,Passed,False,
EVT-000251,APP-0057,Recruiter Screen,2026-07-17T12:00:00,2026-07-23T12:00:00,Passed,False,
EVT-000252,APP-0057,Hiring Manager Review,2026-07-23T19:00:00,2026-07-30T19:00:00,Passed,False,
EVT-000253,APP-0057,Technical Interview,2026-07-30T22:00:00,2026-08-02T22:00:00,Passed,False,
EVT-000254,APP-0058,Applied,2026-06-05T00:00:00,2026-06-11T00:00:00,Passed,False,
EVT-000255,APP-0058,Screening,2026-06-12T11:00:00,2026-06-15T11:00:00,Passed,False,
EVT-000256,APP-0058,Recruiter Screen,2026-06-15T17:00:00,2026-06-16T17:00:00,Withdrew,True,No Response
EVT-000257,APP-0059,Applied,2026-06-23T00:00:00,2026-06-28T00:00:00,Passed,False,
EVT-000258,APP-0059,Screening,2026-06-29T05:00:00,2026-07-05T05:00:00,Passed,False,
EVT-000259,APP-0059,Recruiter Screen,2026-07-05T19:00:00,2026-07-09T19:00:00,Passed,False,
EVT-000260,APP-0059,Hiring Manager Review,2026-07-09T23:00:00,2026-07-14T23:00:00,Passed,False,
EVT-000261,APP-0059,Technical Interview,2026-07-16T13:00:00,2026-07-23T13:00:00,Passed,False,
EVT-000262,APP-0059,Final Interview,2026-07-25T06:00:00,2026-07-28T06:00:00,Passed,False,
EVT-000263,APP-0059,Offer,2026-07-28T15:00:00,2026-08-03T15:00:00,Passed,False,
